pid,ms_sub_class,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod_add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmt_fin_type_1,bsmt_fin_sf_1,bsmt_fin_type_2,bsmt_fin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,x1st_flr_sf,x2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abv_gr,kitchen_abv_gr,kitchen_qual,tot_rms_abv_grd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,x3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,sale_condition,sale_price
x0527358140,x020,rl,105,11751,pave,none,ir1,lvl,all_pub,inside,gtl,nw_ames,norm,norm,one_fam,x1story,6,6,1977,1977,hip,comp_shg,plywood,plywood,brk_face,480,ta,ta,c_block,gd,ta,no,blq,705,unf,0,1139,1844,gas_a,ex,y,s_brkr,1844,0,0,1844,0,0,2,0,3,1,ta,7,typ,1,ta,attchd,1977,r_fn,2,546,ta,ta,y,0,122,0,0,0,0,none,mn_prv,none,0,1,2010,cod,normal,190000
x0527368020,x060,fv,NA,7500,pave,none,reg,lvl,all_pub,inside,gtl,somerst,norm,norm,one_fam,x2story,7,5,2000,2000,gable,comp_shg,vinyl_sd,vinyl_sd,none,0,gd,ta,p_conc,gd,ta,no,glq,533,unf,0,281,814,gas_a,ex,y,s_brkr,814,860,0,1674,1,0,2,1,3,1,gd,7,typ,0,none,attchd,2000,r_fn,2,663,ta,ta,y,0,96,0,0,0,0,none,none,none,0,1,2010,wd,normal,216000
x0527402200,x020,rl,NA,11241,pave,none,ir1,lvl,all_pub,cul_d_sac,gtl,n_ames,norm,norm,one_fam,x1story,6,7,1970,1970,gable,comp_shg,wd_sdng,wd_sdng,brk_face,180,ta,ta,c_block,ta,ta,no,alq,578,unf,0,426,1004,gas_a,ex,y,s_brkr,1004,0,0,1004,1,0,1,0,2,1,ta,5,typ,1,ta,attchd,1970,fin,2,480,ta,ta,y,0,0,0,0,0,0,none,none,shed,700,3,2010,wd,normal,149000
x0527404120,x020,rl,70,8400,pave,none,reg,lvl,all_pub,corner,gtl,n_ames,norm,norm,one_fam,x1story,4,5,1970,1970,gable,comp_shg,plywood,plywood,none,0,ta,ta,c_block,ta,ta,no,alq,804,rec,78,0,882,gas_a,ta,y,s_brkr,882,0,0,882,1,0,1,0,2,1,ta,4,typ,0,none,attchd,1970,fin,2,525,ta,ta,y,240,0,0,0,0,0,none,mn_prv,none,0,4,2010,wd,normal,126000
x0527425090,x020,rl,70,10500,pave,none,reg,lvl,all_pub,fr2,gtl,n_ames,norm,norm,one_fam,x1story,4,5,1971,1971,gable,comp_shg,hd_board,hd_board,none,0,ta,ta,c_block,ta,ta,no,alq,432,unf,0,432,864,gas_a,ta,y,s_brkr,864,0,0,864,0,0,1,0,3,1,ta,5,typ,1,po,none,NA,none,0,0,none,none,y,0,0,0,0,0,0,none,none,none,0,4,2010,con_li,normal,115000
x0527451330,x160,rm,21,1680,pave,none,reg,lvl,all_pub,inside,gtl,br_dale,norm,norm,twhs_int,x2story,5,5,1971,1971,gable,comp_shg,hd_board,hd_board,brk_face,492,ta,ta,c_block,ta,ta,no,rec,300,unf,0,225,525,gas_a,ta,y,s_brkr,525,567,0,1092,0,0,1,1,3,1,ta,6,typ,0,none,detchd,1997,unf,1,320,ta,ta,y,0,0,0,0,0,0,none,none,none,0,3,2010,wd,normal,105500
x0527452190,x120,rl,53,4043,pave,none,reg,lvl,all_pub,inside,gtl,n_pk_vill,norm,norm,twhs_ext,x1story,6,5,1977,1977,gable,comp_shg,plywood,plywood,none,0,ta,ta,c_block,gd,ta,no,alq,360,unf,0,709,1069,gas_a,ta,y,s_brkr,1069,0,0,1069,0,0,2,0,2,1,ta,4,typ,1,fa,attchd,1977,r_fn,2,440,ta,ta,y,0,55,0,0,165,0,none,none,none,0,7,2010,wd,normal,127500
x0527453130,x160,rl,24,2280,pave,none,reg,lvl,all_pub,fr2,gtl,n_pk_vill,norm,norm,twhs_int,x2story,6,6,1975,1975,gable,comp_shg,plywood,brk_cmn,none,0,ta,ta,c_block,ta,ta,no,alq,514,unf,0,341,855,gas_a,ta,y,s_brkr,855,601,0,1456,0,0,2,1,3,1,gd,6,typ,1,ta,attchd,1975,unf,2,440,ta,ta,y,173,0,0,0,0,0,none,none,none,0,6,2010,wd,normal,149900
x0527453150,x120,rl,24,2280,pave,none,reg,lvl,all_pub,fr2,gtl,n_pk_vill,norm,norm,twhs_int,x1story,7,6,1975,1975,gable,comp_shg,plywood,brk_cmn,none,0,ta,ta,c_block,gd,ta,no,unf,0,unf,0,836,836,gas_a,ex,y,s_brkr,836,0,0,836,0,0,1,0,2,1,ta,4,typ,0,none,attchd,1975,unf,1,308,ta,ta,y,0,30,0,0,0,0,none,none,none,0,6,2010,wd,normal,120000
x0527454200,x160,rl,24,2280,pave,none,reg,lvl,all_pub,inside,gtl,n_pk_vill,norm,norm,twhs_int,x2story,6,5,1978,1978,gable,comp_shg,plywood,brk_cmn,none,0,ta,ta,c_block,gd,ta,no,alq,311,unf,0,544,855,gas_a,fa,y,s_brkr,855,601,0,1456,0,0,2,1,3,1,ta,7,typ,1,ta,attchd,1978,unf,2,440,ta,ta,y,26,0,0,0,0,0,none,none,none,0,7,2010,wd,normal,146000
x0528112020,x020,rl,98,11478,pave,none,reg,lvl,all_pub,inside,gtl,nridg_ht,norm,norm,one_fam,x1story,8,5,2007,2008,gable,comp_shg,vinyl_sd,vinyl_sd,stone,200,gd,ta,p_conc,ex,ta,no,glq,1218,unf,0,486,1704,gas_a,ex,y,s_brkr,1704,0,0,1704,1,0,2,0,3,1,gd,7,typ,1,gd,attchd,2008,r_fn,3,772,ta,ta,y,0,50,0,0,0,0,none,none,none,0,5,2010,wd,normal,306000
x0528120060,x020,rl,83,10159,pave,none,ir1,lvl,all_pub,inside,gtl,nridg_ht,norm,norm,one_fam,x1story,9,5,2009,2010,hip,comp_shg,vinyl_sd,vinyl_sd,stone,450,ex,ta,p_conc,ex,ta,av,glq,1646,unf,0,284,1930,gas_a,ex,y,s_brkr,1940,0,0,1940,1,0,2,1,3,1,ex,8,typ,1,gd,attchd,2010,fin,3,606,ta,ta,y,168,95,0,0,0,0,none,none,none,0,4,2010,new,partial,395192
x0528120090,x020,rl,94,12883,pave,none,ir1,lvl,all_pub,corner,gtl,nridg_ht,norm,norm,one_fam,x1story,8,5,2009,2010,gable,comp_shg,vinyl_sd,vinyl_sd,stone,256,gd,ta,p_conc,gd,ta,no,unf,0,unf,0,1544,1544,gas_a,ex,y,s_brkr,1544,0,0,1544,0,0,2,0,3,1,gd,7,typ,0,none,attchd,2009,r_fn,3,868,ta,ta,y,0,35,0,0,0,0,none,none,none,0,6,2010,new,partial,290941
x0528120100,x020,rl,95,12182,pave,none,reg,lvl,all_pub,corner,gtl,nridg_ht,norm,norm,one_fam,x1story,7,5,2005,2005,gable,comp_shg,vinyl_sd,vinyl_sd,brk_face,226,gd,ta,p_conc,gd,ta,mn,blq,1201,unf,0,340,1541,gas_a,ex,y,s_brkr,1541,0,0,1541,0,0,2,0,3,1,gd,7,typ,1,gd,attchd,2005,r_fn,2,532,ta,ta,y,0,70,0,0,0,0,none,none,none,0,5,2010,new,partial,220000
x0528120120,x020,rl,90,11520,pave,none,reg,lvl,all_pub,inside,gtl,nridg_ht,pos_n,norm,one_fam,x1story,9,5,2005,2005,hip,comp_shg,vinyl_sd,vinyl_sd,brk_face,615,gd,ta,p_conc,ex,ta,no,glq,110,unf,0,1588,1698,gas_a,ex,y,s_brkr,1698,0,0,1698,0,0,2,0,3,1,ex,7,typ,1,gd,attchd,2005,fin,3,730,ta,ta,y,192,74,0,0,0,0,none,none,none,0,6,2010,wd,normal,275000
x0528138020,x020,rl,79,14122,pave,none,ir1,lvl,all_pub,inside,gtl,nridg_ht,norm,norm,one_fam,x1story,8,5,2005,2006,hip,comp_shg,cemnt_bd,cment_bd,brk_face,240,gd,ta,p_conc,ex,ta,no,glq,28,unf,0,1794,1822,gas_a,ex,y,s_brkr,1822,0,0,1822,0,0,2,0,3,1,ex,8,typ,1,gd,attchd,2005,r_fn,3,678,ta,ta,y,0,119,0,0,0,0,none,none,none,0,2,2010,wd,normal,259000
x0528175010,x120,rl,44,6371,pave,none,ir1,lvl,all_pub,inside,gtl,nridg_ht,norm,norm,twhs_ext,x1story,7,5,2009,2010,gable,comp_shg,vinyl_sd,vinyl_sd,stone,128,gd,ta,p_conc,gd,ta,mn,glq,733,unf,0,625,1358,gas_a,ex,y,s_brkr,1358,0,0,1358,1,0,2,0,2,1,gd,6,typ,1,gd,attchd,2010,r_fn,2,484,ta,ta,y,192,35,0,0,0,0,none,none,none,0,6,2010,new,partial,224000
x0528176070,x060,rl,105,13650,pave,none,reg,lvl,all_pub,corner,gtl,nridg_ht,norm,norm,one_fam,x2story,8,5,2002,2002,gable,comp_shg,vinyl_sd,vinyl_sd,brk_face,232,gd,ta,p_conc,gd,ta,gd,glq,578,unf,0,1093,1671,gas_a,ex,y,s_brkr,1687,563,0,2250,1,0,2,1,3,1,gd,7,typ,1,ex,attchd,2002,fin,3,756,ta,ta,y,238,130,0,0,0,0,none,none,none,0,6,2010,wd,normal,320000
x0528180070,x120,rl,61,7658,pave,none,reg,lvl,all_pub,inside,gtl,nridg_ht,norm,norm,twhs_ext,x1story,9,5,2005,2005,hip,comp_shg,metal_sd,metal_sd,brk_face,412,ex,ta,p_conc,ex,ta,no,glq,456,unf,0,1296,1752,gas_a,ex,y,s_brkr,1752,0,0,1752,1,0,2,0,2,1,ex,6,typ,1,gd,attchd,2005,r_fn,2,576,ta,ta,y,196,82,0,0,0,0,none,none,none,0,2,2010,wd,normal,319900
x0528181050,x120,rl,41,7132,pave,none,ir1,lvl,all_pub,inside,gtl,nridg_ht,norm,norm,twhs_ext,x1story,8,5,2006,2006,gable,comp_shg,vinyl_sd,vinyl_sd,stone,178,gd,ta,p_conc,gd,ta,mn,glq,24,unf,0,1346,1370,gas_a,ex,y,s_brkr,1370,0,0,1370,0,0,2,0,2,1,gd,6,typ,1,gd,attchd,2006,r_fn,2,484,ta,ta,y,120,49,0,0,0,0,none,none,none,0,4,2010,wd,normal,205000
x0528188120,x160,rl,36,2628,pave,none,reg,lvl,all_pub,inside,gtl,nridg_ht,norm,norm,twhs_int,x2story,7,5,2003,2003,gable,comp_shg,vinyl_sd,wd_shng,stone,106,gd,ta,p_conc,gd,ta,no,unf,0,unf,0,764,764,gas_a,ex,y,s_brkr,764,862,0,1626,0,0,2,1,2,1,gd,6,typ,0,none,built_in,2003,r_fn,2,474,ta,ta,y,0,27,0,0,0,0,none,none,none,0,6,2010,wd,normal,175500
x0528228285,x120,rl,43,3203,pave,none,reg,lvl,all_pub,inside,gtl,blmngtn,norm,norm,twhs_ext,x1story,7,5,2006,2006,gable,comp_shg,vinyl_sd,vinyl_sd,brk_face,14,gd,ta,p_conc,gd,ta,av,glq,16,unf,0,1129,1145,gas_a,ex,y,s_brkr,1145,0,0,1145,0,0,2,0,2,1,gd,6,typ,0,none,attchd,2006,fin,2,437,ta,ta,y,100,116,0,0,0,0,none,none,none,0,1,2010,wd,normal,160000
x0528228440,x120,rl,43,3182,pave,none,reg,lvl,all_pub,inside,gtl,blmngtn,norm,norm,twhs_ext,x1story,8,5,2004,2005,gable,comp_shg,vinyl_sd,vinyl_sd,brk_face,16,gd,ta,p_conc,gd,ta,no,glq,24,unf,0,1232,1256,gas_a,ex,y,s_brkr,1269,0,0,1269,0,0,2,0,2,1,gd,6,typ,1,ta,attchd,2004,fin,2,430,ta,ta,y,146,20,0,0,144,0,none,none,none,0,4,2010,wd,normal,192000
x0528240070,x060,rl,NA,7851,pave,none,reg,lvl,all_pub,inside,gtl,gilbert,norm,norm,one_fam,x2story,6,5,2002,2002,gable,comp_shg,vinyl_sd,vinyl_sd,NA,NA,gd,ta,p_conc,gd,ta,no,glq,625,unf,0,235,860,gas_a,ex,y,s_brkr,860,1100,0,1960,1,0,2,1,4,1,gd,8,typ,2,ta,built_in,2002,fin,2,440,ta,ta,y,288,48,0,0,0,0,none,none,none,0,5,2010,wd,normal,216500
x0528250100,x080,rl,NA,7750,pave,none,ir1,lvl,all_pub,inside,gtl,gilbert,norm,norm,one_fam,s_lvl,7,5,2000,2000,gable,comp_shg,vinyl_sd,vinyl_sd,none,0,ta,ta,p_conc,gd,ta,no,glq,250,unf,0,134,384,gas_a,ex,y,s_brkr,774,656,0,1430,0,0,2,1,3,1,ta,7,typ,1,ta,built_in,2000,fin,2,400,ta,ta,y,180,0,0,0,0,0,none,none,none,0,4,2010,wd,normal,180000
x0528292020,x060,rl,NA,9505,pave,none,ir1,lvl,all_pub,cul_d_sac,gtl,gilbert,norm,norm,one_fam,x2story,7,5,2001,2001,gable,comp_shg,vinyl_sd,vinyl_sd,brk_face,180,gd,ta,p_conc,gd,ta,no,unf,0,unf,0,884,884,gas_a,ex,y,s_brkr,884,1151,0,2035,0,0,2,1,3,1,gd,8,typ,1,gd,built_in,2001,fin,2,434,ta,ta,y,144,48,0,0,0,0,none,none,none,0,5,2010,wd,normal,222500
x0528328100,x060,rl,108,14774,pave,none,ir1,lvl,all_pub,corner,gtl,no_ridge,norm,norm,one_fam,x2story,9,5,1999,1999,gable,comp_shg,vinyl_sd,vinyl_sd,brk_face,165,gd,ta,p_conc,gd,ta,no,unf,0,unf,0,1393,1393,gas_a,ex,y,s_brkr,1422,1177,0,2599,0,0,2,1,4,1,gd,10,typ,1,ta,built_in,1999,fin,3,779,ta,ta,y,668,30,0,0,0,0,none,none,none,0,5,2010,wd,normal,333168
x0528344070,x060,rl,60,17433,pave,none,ir2,lvl,all_pub,cul_d_sac,gtl,no_ridge,norm,norm,one_fam,x2story,8,5,1998,1998,hip,comp_shg,vinyl_sd,vinyl_sd,brk_face,114,gd,ta,p_conc,ex,ta,no,unf,0,unf,0,1629,1629,gas_a,ex,y,s_brkr,1645,830,0,2475,0,0,2,1,4,1,gd,7,typ,1,ta,attchd,1998,fin,3,962,ta,ta,y,23,172,0,0,256,0,none,none,none,0,1,2010,wd,normal,355000
x0528358010,x020,rl,59,10593,pave,none,ir1,lvl,all_pub,inside,gtl,no_ridge,norm,norm,one_fam,x1story,7,5,1996,1996,hip,comp_shg,vinyl_sd,vinyl_sd,brk_face,338,gd,ta,p_conc,gd,ta,no,glq,919,unf,0,801,1720,gas_a,ex,y,s_brkr,1720,0,0,1720,1,0,2,0,3,1,gd,7,typ,1,ta,attchd,1996,fin,2,527,ta,ta,y,240,56,154,0,0,0,none,none,none,0,3,2010,wd,normal,260400
x0528363130,x060,rl,98,12256,pave,none,ir1,lvl,all_pub,corner,gtl,no_ridge,norm,norm,one_fam,x2story,8,5,1994,1995,gable,comp_shg,hd_board,hd_board,brk_face,362,gd,ta,p_conc,ex,ta,av,glq,1032,unf,0,431,1463,gas_a,ex,y,s_brkr,1500,1122,0,2622,1,0,2,1,3,1,gd,9,typ,2,ta,attchd,1994,r_fn,2,712,ta,ta,y,186,32,0,0,0,0,none,none,none,0,4,2010,wd,normal,325000
x0528382020,x060,rl,92,11764,pave,none,ir1,lvl,all_pub,cul_d_sac,gtl,no_ridge,norm,norm,one_fam,x2story,8,7,1999,2007,gable,comp_shg,vinyl_sd,vinyl_sd,brk_face,348,gd,ta,p_conc,gd,ta,no,glq,524,unf,0,628,1152,gas_a,ex,y,s_brkr,1164,1106,0,2270,0,0,2,1,4,1,gd,9,typ,1,gd,attchd,1999,fin,3,671,ta,ta,y,132,57,0,0,0,0,none,none,none,0,4,2010,wd,normal,290000
x0528382030,x060,rl,58,16770,pave,none,ir2,lvl,all_pub,cul_d_sac,gtl,no_ridge,norm,norm,one_fam,x2story,7,5,1998,1998,gable,comp_shg,vinyl_sd,vinyl_sd,brk_face,30,gd,ta,p_conc,gd,ta,no,unf,0,unf,0,1195,1195,gas_a,gd,y,s_brkr,1195,644,0,1839,0,0,2,1,4,1,ta,7,typ,0,none,attchd,1998,fin,2,486,ta,ta,y,0,81,0,0,0,0,none,none,none,0,6,2010,wd,normal,221000
x0528386040,x050,rl,56,14720,pave,none,ir1,lvl,all_pub,cul_d_sac,gtl,no_ridge,norm,norm,one_fam,x1_5fin,8,5,1995,1996,hip,comp_shg,vinyl_sd,vinyl_sd,brk_face,579,gd,ta,p_conc,gd,ta,av,glq,816,unf,0,1217,2033,gas_a,ex,y,s_brkr,2053,1185,0,3238,1,0,2,1,4,1,gd,9,typ,1,ex,attchd,1996,fin,3,666,ta,ta,y,283,86,0,0,0,0,none,none,none,0,3,2010,wd,normal,410000
x0528445060,x020,rl,73,8987,pave,none,reg,lvl,all_pub,inside,gtl,somerst,norm,norm,one_fam,x1story,8,5,2005,2006,gable,comp_shg,vinyl_sd,vinyl_sd,brk_face,226,gd,ta,p_conc,gd,ta,none,unf,0,unf,0,1595,1595,gas_a,ex,y,s_brkr,1595,0,0,1595,0,0,2,0,2,1,gd,6,typ,1,gd,attchd,2005,r_fn,3,880,ta,ta,y,144,0,0,0,0,0,none,none,none,0,5,2010,wd,normal,221500
x0528456160,x020,fv,92,9215,pave,none,reg,lvl,all_pub,inside,gtl,somerst,norm,norm,one_fam,x1story,7,5,2009,2010,hip,comp_shg,vinyl_sd,vinyl_sd,none,0,gd,ta,p_conc,gd,ta,no,unf,0,unf,0,1218,1218,gas_a,ex,y,s_brkr,1218,0,0,1218,0,0,2,0,2,1,gd,4,typ,0,none,attchd,2009,r_fn,2,676,ta,ta,y,0,136,0,0,0,0,none,none,none,0,4,2010,new,partial,204500
