name,nationality,age,weight,dribbling,interceptions,heading_accuracy,reactions,balance,jumping,stamina,strength,composure,preferred_foot,international_reputation,work_rate,position,overall
c_bramall,england,22,159,63,59,45,55,67,64,64,56,52,left,1,high_medium,df,63
a_rodriguez,uruguay,25,159,68,65,59,60,71,62,69,76,52,right,1,medium_high,mf,67
s_moore,united_states,21,161,65,66,55,69,66,71,71,68,56,right,1,medium_high,df,68
o_ighalo,nigeria,29,165,80,30,71,78,69,80,78,78,82,right,1,medium_medium,st,77
n_leali,italy,25,181,13,25,11,64,32,70,27,65,60,right,1,medium_medium,gk,70
g_herrem,norway,30,181,55,38,53,44,59,63,64,72,52,right,1,medium_medium,st,60
a_najem,afghanistan,23,150,56,31,42,55,75,55,62,56,52,right,1,high_medium,am,59
g_gillet,belgium,34,174,68,72,74,71,54,76,73,78,75,right,2,high_high,dm,72
j_scott,scotland,17,192,52,16,62,53,50,68,55,76,45,right,1,medium_medium,st,57
b_bytyqi,albania,21,154,49,46,43,53,68,66,61,58,48,left,1,high_medium,df,52
p_kristensen,denmark,31,150,59,61,54,62,67,68,68,62,61,right,1,medium_medium,df,62
m_leitner,germany,25,150,73,64,38,69,79,63,72,48,67,right,2,medium_medium,dm,73
i_bennacer,algeria,20,141,73,60,65,68,79,72,74,45,67,left,1,medium_medium,mf,71
t_blackmon,united_states,21,179,56,54,58,43,61,77,68,66,41,right,1,medium_medium,df,57
nathael_silbeira,brazil,34,183,18,17,14,78,30,35,13,44,55,right,1,medium_medium,gk,71
a_jakobsen,denmark,19,165,50,18,60,61,62,68,59,59,62,right,1,medium_medium,st,58
j_hamilton,canada,22,183,58,25,64,59,56,79,46,78,60,left,1,high_low,st,65
a_arrighini,italy,28,165,61,12,70,62,61,74,63,68,64,right,1,high_medium,st,67
f_koch,austria,29,150,66,67,64,58,76,36,80,70,68,right,1,high_medium,mf,68
j_dunleavy,republic_of_ireland,26,157,49,58,55,56,52,78,66,55,56,right,1,high_medium,df,59
u_yuvakuran,turkey,20,179,7,9,12,61,27,46,17,68,38,right,1,medium_medium,gk,63
j_mendes,france,27,176,61,38,68,54,60,71,48,78,56,right,1,high_medium,st,65
joaqu_af_a_n,spain,22,146,60,67,61,58,33,56,69,79,64,right,1,medium_medium,df,68
k_musona,zimbabwe,28,157,74,25,64,73,82,80,72,43,67,right,1,medium_low,st,71
c_roberts,wales,22,157,66,69,52,62,70,61,77,60,50,right,1,high_medium,df,69
j_isijara,mexico,28,168,71,34,52,67,52,71,75,66,60,right,1,high_medium,mf,71
c_lizarazo,colombia,27,148,66,32,48,63,84,55,59,53,63,left,1,medium_low,am,67
nuno_pinto,portugal,31,143,72,73,56,79,76,69,82,60,70,left,1,medium_medium,df,75
j_serafin,poland,22,152,58,52,50,59,60,65,69,55,60,right,1,medium_medium,mf,59
s_diakit_af_a_c,mali,29,176,67,65,59,65,56,73,77,75,61,right,1,medium_medium,mf,66
m_hjulmand,denmark,19,170,58,54,53,62,61,60,67,66,44,right,1,high_high,mf,61
j_bataille,belgium,19,157,67,25,40,62,76,70,46,35,58,right,1,high_medium,mf,63
i_marcone,argentina,28,183,69,76,73,79,57,35,86,85,76,right,1,medium_high,dm,79
n_r_af_a_seler,germany,26,154,56,66,68,65,30,67,68,74,70,right,1,medium_medium,df,68
f_dick,germany,33,185,59,66,63,65,58,75,64,76,73,right,1,medium_medium,df,66
b_meling,norway,23,141,63,67,42,64,80,79,87,36,69,left,1,high_high,df,70
fernand_af_a_o,brazil,31,194,66,30,82,73,36,48,63,91,67,right,2,high_low,st,74
k_balogiannis,greece,19,157,49,56,53,53,66,60,66,55,52,left,1,medium_medium,dm,58
g_nugent,england,16,176,43,42,46,51,63,62,47,60,43,right,1,medium_medium,mf,46
t_bergmann,germany,21,165,51,63,49,62,69,65,85,66,55,right,1,high_medium,dm,66
v_belon,france,23,170,20,21,20,57,62,58,22,58,50,right,1,medium_medium,gk,62
a_barreal,argentina,17,146,66,29,33,45,76,60,54,43,45,left,1,medium_low,am,59
m_hamrol,germany,24,198,9,6,11,49,25,38,17,69,27,left,1,medium_medium,gk,59
m_taylor,england,28,159,66,24,68,59,83,78,66,61,59,right,1,high_medium,st,68
m_cafaro,france,21,143,68,48,47,60,81,59,69,56,64,right,1,medium_medium,am,68
k_engbers,netherlands,18,172,46,56,54,47,44,62,57,76,46,right,1,medium_medium,df,57
d_schwizer,switzerland,22,163,46,42,51,56,65,58,40,55,39,right,1,medium_high,am,51
m_torr_af_a_c_n,argentina,29,157,53,70,64,57,68,83,72,80,63,right,1,low_medium,df,70
g_pezzella,italy,20,187,72,64,68,69,62,58,78,78,60,left,1,medium_medium,df,71
delm_af_a_s,spain,23,134,58,65,63,63,60,72,76,71,53,right,1,high_medium,df,68
o_mangala,belgium,20,172,77,63,51,67,68,66,75,69,70,right,1,medium_medium,dm,71
l_lindsay,scotland,22,196,39,60,69,58,54,77,71,81,47,left,1,medium_high,df,67
t_courtois,belgium,26,212,13,15,13,84,45,68,38,70,66,left,4,medium_medium,gk,89
s_janko,switzerland,22,154,65,67,60,62,70,68,74,68,61,right,1,high_medium,df,70
a_su_a_a_ac,croatia,29,176,40,67,66,64,66,72,66,78,70,right,1,medium_medium,df,66
w_zaha,ivory_coast,25,146,90,23,47,77,82,57,76,75,81,right,2,high_low,st,82
p_aquino,peru,23,154,60,69,58,66,76,57,81,68,65,right,1,medium_high,dm,71
a_al_khaibari,saudi_arabia,21,146,56,60,49,58,71,66,70,72,46,right,1,medium_medium,dm,64
t_s_af_a_derstr_af_a_m,sweden,24,168,63,57,50,56,66,60,65,68,64,right,1,medium_medium,am,62
k_nababkin,russia,31,170,59,72,65,63,67,72,78,72,64,right,2,medium_high,mf,73
a_azeez,england,24,176,55,15,53,57,59,63,60,59,62,right,1,high_medium,st,58
j_meiser,germany,19,146,64,19,40,54,73,52,58,37,46,right,1,medium_medium,st,54
ismaily,brazil,28,181,83,79,59,81,82,59,88,75,79,left,1,high_high,df,80
m_bundu,sierra_leone,21,176,66,22,52,57,74,64,66,71,55,right,1,high_medium,st,64
j_allansson,sweden,25,152,64,58,33,60,90,83,67,56,57,right,1,medium_medium,mf,64
m_stekelenburg,netherlands,35,203,12,26,14,72,27,55,30,77,59,right,2,medium_medium,gk,73
e_goldaniga,italy,24,181,48,74,73,70,35,79,56,78,64,right,1,medium_high,df,74
j_adebayo_smith,united_states,17,170,51,18,40,44,61,57,48,48,35,right,1,medium_medium,st,50
c_labr_af_a_n,chile,27,179,38,65,67,64,49,75,59,81,66,right,1,low_high,df,69
p_dahlberg,sweden,19,198,10,6,11,63,21,44,35,61,53,right,1,medium_medium,gk,67
b_seymour,england,19,139,45,13,49,47,80,68,66,48,44,right,1,high_medium,st,51
g_til,netherlands,20,163,67,66,58,77,73,52,90,69,72,right,1,high_high,am,74
a_al_riou,saudi_arabia,24,154,49,57,48,51,72,72,52,65,46,left,1,medium_medium,df,57
a_lindegaard,denmark,34,187,17,23,14,61,54,68,25,69,55,right,2,medium_medium,gk,68
a_balanta,colombia,18,159,49,56,49,56,67,60,68,59,53,right,1,medium_high,dm,60
s_mandanda,france,33,181,15,23,13,80,36,74,31,61,64,right,3,medium_medium,gk,83
r_quioto,honduras,26,172,73,31,70,66,70,81,69,65,73,right,1,high_medium,mf,72
g_poblete,argentina,25,139,72,74,50,66,85,74,83,63,69,right,1,low_high,dm,73
m_thiam,senegal,23,181,70,50,59,66,74,64,67,82,57,right,1,medium_medium,mf,67
v_wernersson,sweden,22,154,57,50,45,48,63,71,68,60,47,left,1,high_medium,df,61
j_akinde,england,28,192,56,29,61,65,61,71,76,92,58,right,1,medium_low,st,65
z_af_a_c_manuel,portugal,27,157,66,22,61,63,70,68,61,57,64,right,1,medium_medium,am,66
seoane,spain,35,165,52,75,59,65,67,75,75,80,75,right,1,medium_high,dm,74
s_pollock,england,17,146,54,34,45,49,60,56,50,49,49,right,1,medium_high,mf,51
f_calvo,costa_rica,25,170,64,71,72,67,79,81,75,75,67,left,1,high_medium,df,71
everaldo,brazil,26,168,66,16,66,70,52,72,68,71,58,right,1,medium_low,st,68
giuliano,brazil,28,150,84,42,59,81,85,61,82,74,82,right,2,high_medium,am,83
a_olliero,france,22,187,13,17,20,53,41,59,23,76,48,right,1,medium_medium,gk,63
e_lancini,italy,24,174,40,65,64,59,66,72,59,85,59,right,1,medium_medium,df,66
j_pesta_af_a_a,colombia,20,154,22,59,57,56,66,51,59,59,44,right,1,medium_medium,df,58
w_cartagena,peru,23,159,63,67,62,63,76,74,65,62,60,right,1,medium_medium,dm,67
r_rotman,slovenia,29,176,65,67,67,66,66,70,76,72,70,right,1,medium_medium,dm,68
k_toko_ekambi,cameroon,25,163,80,28,74,76,75,71,70,77,78,right,2,high_medium,st,79
dani_ceballos,spain,21,154,85,76,41,80,79,52,75,62,80,right,1,medium_medium,mf,81
casillas,spain,37,185,25,22,25,77,46,77,43,70,70,left,4,medium_medium,gk,82
g_paletta,italy,32,176,48,81,76,73,38,78,73,88,74,right,3,low_high,df,77
j_plata,ecuador,26,134,74,29,58,74,90,63,71,57,70,right,1,high_medium,am,74
alberto_soro,spain,19,139,63,32,49,60,73,52,64,58,59,left,1,high_medium,am,66
m_bottani,switzerland,27,139,70,40,35,61,85,58,80,43,55,right,1,medium_low,am,62
y_carrasco,belgium,24,161,88,18,53,83,71,68,74,59,75,right,3,high_medium,mf,83
j_parker,antigua_barbuda,27,168,59,37,62,59,71,80,71,68,67,right,1,medium_medium,st,63
j_williams,wales,22,170,55,62,62,59,64,67,55,73,57,right,1,medium_high,dm,64
p_sander,germany,20,154,63,25,49,52,73,56,46,43,58,right,1,medium_medium,mf,57
pere_pons,spain,25,154,75,77,58,75,70,66,81,68,69,right,1,medium_high,mf,78
n_kati_a_a,croatia,21,176,56,68,69,63,56,76,68,78,67,right,1,medium_high,df,71
w_janssens,belgium,22,154,63,16,65,55,71,78,50,57,52,right,1,medium_medium,st,63
a_akinfenwa,england,36,243,52,17,71,61,71,49,77,97,70,right,1,low_low,st,66
c_basham,england,29,176,61,75,68,68,57,77,83,79,59,right,1,high_high,df,72
c_cisternas,chile,32,165,52,49,37,71,71,51,73,57,51,right,1,medium_medium,mf,62
p_mortensen,denmark,28,179,57,26,71,68,53,83,66,83,61,right,1,medium_low,st,67
k_henry,england,18,154,55,24,51,45,64,55,69,65,48,right,1,medium_medium,st,56
a_longhi,italy,29,170,58,62,55,66,61,69,73,70,63,left,1,high_medium,df,65
j_lalrinzuala,india,19,150,46,49,44,54,71,63,65,56,44,left,1,medium_medium,df,56
l_harasl_af_a_n,slovakia,22,157,73,33,59,65,80,70,80,64,65,left,1,high_medium,mf,72
j_andrada,argentina,23,170,65,72,57,68,59,64,70,70,62,right,1,medium_high,dm,67
jo_young_cheol,korea_republic,29,183,67,65,54,68,66,60,66,54,63,right,1,high_medium,st,67
s_singh,new_zealand,19,143,66,57,44,66,82,65,54,39,65,left,1,high_medium,am,67
marquinhos_cipriano,brazil,19,143,69,23,34,67,83,41,52,40,66,left,1,high_medium,mf,65
j_kristoffersen,norway,21,170,53,18,68,59,35,46,61,79,54,right,1,medium_medium,st,59
p_tuszy_a_a_zski,poland,28,170,65,38,62,64,60,63,62,69,57,right,1,medium_medium,st,65
j_coustrain,republic_of_ireland,22,150,64,39,32,49,75,45,56,54,50,left,1,high_medium,mf,61
d_gonzo,paraguay,22,161,76,34,56,69,83,73,72,58,61,right,1,high_medium,mf,72
s_sanogo,ivory_coast,29,179,75,74,66,72,65,92,84,90,70,left,1,medium_high,mf,76
n_mileusni_a_a,australia,24,157,65,20,40,56,70,36,71,63,56,right,1,high_low,am,63
c_robinson,republic_of_ireland,23,165,74,25,63,67,65,47,64,65,65,right,1,high_medium,mf,72
j_lucumi,colombia,23,139,76,26,32,65,73,56,82,58,68,right,1,high_medium,mf,72
diogo_viana,portugal,28,148,74,65,56,66,79,40,71,53,67,right,1,high_medium,df,70
t_trueba,mexico,22,172,11,12,14,50,41,62,28,50,37,left,1,medium_medium,gk,57
b_akintola,nigeria,22,152,68,40,56,57,73,65,77,63,46,right,1,high_medium,mf,66
l_ajorque,france,24,181,67,28,77,63,30,64,73,84,56,left,1,high_low,st,70
t_kruse,germany,35,165,32,69,66,63,49,55,69,79,73,left,1,medium_medium,dm,63
s_olsson,sweden,20,179,67,51,44,55,69,37,69,69,68,right,1,medium_medium,mf,65
c_schorch,germany,29,176,53,66,71,64,55,60,63,80,65,right,1,medium_medium,df,67
r_takae,japan,20,132,45,40,40,49,84,71,48,51,44,right,1,medium_medium,dm,48
s_al_wehimid,saudi_arabia,20,174,7,14,11,44,45,59,23,53,38,right,1,medium_medium,gk,50
d_kreilach,croatia,29,172,72,64,72,79,62,85,91,83,71,right,1,high_medium,st,74
o_mandanda,france,19,170,8,11,13,51,48,63,21,53,47,right,1,medium_medium,gk,64
r_siemaszko,poland,31,150,60,42,71,66,78,71,65,69,67,right,1,medium_medium,st,64
nuno_andr_af_a_c_coelho,portugal,32,181,50,71,71,69,34,34,67,78,67,right,1,medium_medium,df,70
m_hummels,germany,29,203,68,92,87,87,60,68,66,84,91,right,4,high_medium,df,88
r_loftus_cheek,england,22,194,82,57,58,64,67,59,75,80,78,right,1,medium_low,mf,77
i_bandalovski,bulgaria,31,170,63,62,50,67,75,66,72,60,60,right,1,medium_high,df,67
k_b_af_a1_4low,germany,32,179,47,67,68,66,47,84,65,78,62,right,1,low_medium,dm,66
g_postma,netherlands,20,165,60,63,57,55,63,61,62,64,50,left,1,medium_high,dm,61
d_blanco,argentina,23,139,67,35,36,67,61,57,68,52,62,right,1,medium_medium,mf,66
josep_mart_af_a_nez,spain,20,176,8,11,11,52,22,37,42,58,42,right,1,medium_medium,gk,62
matheus_jesus,brazil,21,176,69,60,60,59,55,72,70,74,49,left,1,medium_medium,dm,65
l_ferroni,argentina,22,150,61,64,46,63,74,63,70,48,57,left,1,medium_medium,df,64
s_kroon,sweden,25,161,70,44,41,66,67,60,61,57,63,right,1,medium_low,mf,67
k_moleko,south_africa,28,168,68,60,48,49,68,45,70,55,62,right,1,medium_medium,df,65
s_long,england,23,165,38,53,59,57,61,73,55,70,54,right,1,medium_medium,df,56
d_jarvis,northern_ireland,26,157,47,54,49,65,62,84,76,57,52,left,1,medium_medium,df,59
j_larsson,sweden,28,165,65,69,58,71,77,72,91,71,67,right,1,high_medium,df,71
b_h_af_a1_4bner,germany,28,190,58,79,85,78,48,61,63,79,71,left,2,medium_medium,df,79
e_stevens,republic_of_ireland,27,172,65,68,54,71,66,64,80,66,65,left,1,medium_medium,df,72
g_courtet,france,29,168,65,32,68,66,74,89,75,74,66,right,1,medium_medium,st,69
h_acosta,mexico,26,168,55,66,56,63,65,57,61,64,50,right,1,low_high,df,65
f_al_qarni,saudi_arabia,26,194,13,18,14,66,52,58,31,52,46,right,1,medium_medium,gk,68
jonathan_viera,spain,28,141,84,73,41,81,92,88,79,67,80,right,2,high_low,st,82
yang_han_been,korea_republic,26,198,14,26,13,65,55,60,35,68,42,right,1,medium_medium,gk,70
s_wangberg,norway,27,187,33,64,71,64,46,61,65,81,62,right,1,medium_high,df,69
c_quintero,colombia,29,163,71,68,46,62,78,65,71,75,61,right,1,medium_medium,mf,70
g_mercado,argentina,31,183,57,80,76,72,60,76,77,82,73,right,1,medium_medium,df,79
rodri_tar_af_a_n,spain,21,176,53,66,64,66,51,69,63,75,56,right,1,medium_medium,df,67
c_strohdiek,germany,30,192,33,64,72,66,39,52,39,88,56,right,1,low_medium,df,70
s_str_af_a3zik,poland,19,168,49,18,53,52,63,62,52,66,44,right,1,medium_medium,mf,53
f_kelleher,republic_of_ireland,22,176,24,52,58,50,28,74,49,69,40,right,1,medium_medium,df,57
j_bela,france,25,157,73,34,58,64,77,75,62,38,58,right,1,medium_medium,mf,68
m_seegert,germany,24,170,47,63,61,58,63,80,61,77,60,right,1,medium_medium,df,64
j_ward,england,28,183,64,76,73,74,60,65,72,71,72,right,1,medium_high,df,73
l_kassi,ivory_coast,23,163,66,56,48,59,65,59,73,61,56,right,1,medium_medium,am,67
m_lewandowski,poland,25,159,58,59,56,59,68,66,86,64,55,left,1,medium_medium,df,63
i_sylla,guinea,27,161,65,30,78,66,65,81,64,72,67,left,1,high_medium,st,70
carlos_guti_af_a_c_rrez,spain,26,181,32,67,73,66,47,39,62,84,54,right,1,medium_medium,df,70
bae_ki_jong,korea_republic,35,165,63,46,61,61,74,71,54,68,56,right,1,medium_low,am,63
l_kerrigan,republic_of_ireland,18,143,50,22,33,45,64,39,33,36,56,right,1,medium_medium,am,51
h_hauso,norway,17,161,29,54,53,45,74,67,61,51,43,right,1,medium_medium,df,52
z_zl_af_a_mal,czech_republic,32,203,12,33,10,51,77,66,33,68,65,right,1,medium_medium,gk,69
c_cooke,england,21,159,59,52,59,61,78,65,70,67,46,right,1,medium_medium,mf,60
f_strauss,austria,23,185,24,63,65,64,32,69,55,91,54,right,1,medium_medium,df,66
m_kelemen,slovakia,38,185,12,14,11,72,30,54,30,44,56,left,1,medium_medium,gk,70
l_moult,england,26,187,61,24,73,64,64,83,67,77,70,right,1,medium_medium,st,69
s_bakan,turkey,17,150,59,18,47,60,77,48,38,29,49,left,1,high_low,mf,55
r_clampin,england,19,154,56,44,37,42,78,57,71,47,49,left,1,high_medium,df,55
m_s_af_a_a_a_ek,czech_republic,21,154,67,67,56,70,73,74,73,59,73,right,1,high_high,mf,68
s_viera,uruguay,35,190,7,22,14,68,51,69,28,60,58,right,1,medium_medium,gk,72
d_g_af_a3mez,colombia,29,143,72,23,67,62,78,74,58,42,59,right,1,high_low,mf,68
k_nordfeldt,sweden,29,187,14,23,13,70,46,83,33,74,28,right,2,medium_medium,gk,72
j_ampuero,chile,31,181,38,58,63,62,47,84,69,89,58,right,1,medium_medium,df,67
p_posipal,germany,30,172,49,54,66,53,55,57,76,71,45,right,1,medium_high,dm,60
j_bekkema,netherlands,22,198,12,10,13,48,38,43,25,63,47,right,1,medium_medium,gk,59
m_niemeyer,germany,22,159,71,41,40,60,76,63,72,58,53,left,1,medium_medium,mf,68
n_p_af_a_c_rez,argentina,18,168,18,71,66,75,55,69,54,62,51,right,1,medium_medium,df,70
h_finndell,sweden,18,163,62,23,42,43,71,68,69,53,52,right,1,medium_medium,mf,56
nildo_petrolina,brazil,32,134,76,64,71,72,73,76,85,39,73,left,1,high_high,am,73
j_al_shammari,saudi_arabia,26,176,58,52,61,46,65,68,72,70,56,right,1,medium_high,dm,59
c_vidal,france,18,165,28,59,73,54,58,79,64,57,47,right,1,medium_high,df,61
j_victoria,colombia,22,154,59,16,54,60,66,67,44,59,51,right,1,medium_medium,st,61
m_fern_af_a_ndez,uruguay,29,174,37,71,71,66,68,70,64,75,58,right,1,medium_medium,df,69
m_martic,austria,22,179,54,49,55,58,47,66,59,83,44,right,1,medium_medium,dm,61
r_perticone,italy,31,168,32,68,68,69,66,76,87,75,65,right,1,medium_high,df,67
a_leitner,austria,24,159,16,10,12,65,31,46,17,37,32,right,1,medium_medium,gk,68
t_anderson,england,24,183,32,61,73,58,41,76,69,82,60,right,1,low_medium,df,64
w_moimb_af_a_c_tahrat,france,29,148,64,64,46,68,83,65,84,64,62,left,1,high_medium,df,67
j_johansson,sweden,28,190,65,74,66,71,48,43,87,86,76,right,1,high_high,mf,73
e_balanta,colombia,25,185,65,73,75,72,48,70,80,86,73,left,1,high_high,df,76
lee_jong_ho,korea_republic,26,172,62,56,62,65,76,76,63,76,60,left,1,high_low,st,66
nacho_monreal,spain,32,159,73,81,72,82,73,74,74,65,76,left,2,high_medium,df,80
g_jones,wales,22,163,57,52,63,64,62,62,52,66,54,right,1,high_medium,df,60
m_valbuena,france,33,139,83,34,48,77,92,60,73,37,64,right,3,high_medium,mf,81
b_djiby_fall,senegal,33,181,63,31,72,62,58,80,61,89,69,right,1,medium_low,st,67
k_anzai,japan,23,141,63,60,47,64,78,72,67,48,59,right,1,high_medium,df,67
h_kawano,japan,28,143,64,66,55,65,84,82,65,55,60,left,1,medium_medium,mf,66
p_filipovi_a_a,germany,27,183,57,67,68,63,57,56,72,78,59,left,1,medium_high,df,69
a_bruce,northern_ireland,33,179,48,60,66,59,69,70,34,73,64,right,1,low_medium,df,67
af_a_ngel,spain,31,150,80,26,74,80,76,76,66,64,70,right,1,high_medium,st,79
