sale_price,garage_area,neighborhood,ms_sub_class,total_bsmt_sf,bsmt_qual,central_air,tot_rms_abv_grd,fireplaces,fireplace_qu
110000,240,oldtown,050,720,ta,y,5,0,no_fireplace
119000,280,oldtown,070,624,ta,y,5,1,gd
58500,0,oldtown,030,624,ta,y,5,1,gd
124900,456,oldtown,050,1088,ta,y,7,0,no_fireplace
121000,192,brkside,030,952,ta,n,4,1,gd
128000,240,brkside,050,672,ta,y,6,0,no_fireplace
117000,216,brkside,050,884,ta,y,5,1,fa
119000,180,brkside,045,884,ta,y,4,0,no_fireplace
105000,180,brkside,030,715,ta,y,5,0,no_fireplace
115000,264,brkside,030,960,ta,y,5,0,no_fireplace
103000,539,idotrr,030,780,ta,y,5,0,no_fireplace
97500,0,oldtown,190,1020,ta,n,9,0,no_fireplace
70000,0,idotrr,085,858,gd,y,5,0,no_fireplace
61000,0,edwards,030,683,fa,n,4,0,no_fireplace
82500,539,edwards,030,861,ta,y,4,0,no_fireplace
122000,498,edwards,020,0,no_bsmt,y,6,0,no_fireplace
84000,290,edwards,020,0,no_bsmt,n,5,0,no_fireplace
105000,280,edwards,050,560,ta,y,6,0,no_fireplace
118964,410,sawyerw,090,0,no_bsmt,y,8,0,no_fireplace
118858,400,sawyerw,090,0,no_bsmt,y,8,0,no_fireplace
113722,400,sawyerw,090,0,no_bsmt,y,8,0,no_fireplace
118000,0,edwards,020,698,ta,y,4,0,no_fireplace
85000,320,edwards,020,876,ta,y,5,0,no_fireplace
120000,195,edwards,020,1078,fa,y,6,0,no_fireplace
98000,240,edwards,050,0,no_bsmt,n,9,0,no_fireplace
99900,0,edwards,030,864,fa,y,4,0,no_fireplace
82000,528,edwards,020,0,no_bsmt,n,4,0,no_fireplace
119900,0,edwards,090,1678,ta,y,10,0,no_fireplace
122000,256,edwards,050,720,ta,y,6,2,gd
117000,660,edwards,050,984,ta,y,6,0,no_fireplace
60000,246,swisu,030,290,ta,n,3,0,no_fireplace
115000,452,blueste,160,516,ta,y,5,1,ta
121000,462,blueste,160,561,gd,y,5,1,ta
123000,576,idotrr,070,760,ta,n,11,0,no_fireplace
78000,189,idotrr,070,596,ta,n,6,0,no_fireplace
75000,200,idotrr,030,572,ta,n,4,0,no_fireplace
57625,280,idotrr,030,0,no_bsmt,n,4,0,no_fireplace
126000,539,mitchel,090,0,no_bsmt,y,8,0,no_fireplace
112000,0,mitchel,020,833,ta,y,5,0,no_fireplace
115000,495,gilbert,020,1632,ta,y,7,2,gd
111900,288,names,020,936,gd,y,4,0,no_fireplace
103400,264,brdale,160,483,ta,y,5,0,no_fireplace
100000,264,brdale,160,483,ta,y,5,0,no_fireplace
100500,352,brdale,160,483,ta,y,5,0,no_fireplace
106000,280,brdale,160,483,ta,y,5,0,no_fireplace
128000,384,sawyer,020,984,ta,y,5,1,ta
118000,205,brkside,190,991,ta,y,5,2,ta
87000,231,brkside,070,348,ta,y,5,0,no_fireplace
119000,288,names,050,1032,ta,y,6,0,no_fireplace
112900,312,names,020,1036,ta,y,5,0,no_fireplace
124000,336,names,020,1144,ta,y,6,0,no_fireplace
114000,288,oldtown,050,747,ta,y,5,0,no_fireplace
86900,308,oldtown,030,672,ta,y,4,0,no_fireplace
106250,0,oldtown,190,0,no_bsmt,n,7,0,no_fireplace
94000,576,names,020,876,fa,y,5,1,ta
98300,420,names,020,0,no_bsmt,y,7,0,no_fireplace
125900,299,names,020,1027,ta,y,6,0,no_fireplace
109500,350,names,020,825,ta,y,4,0,no_fireplace
73000,504,oldtown,030,680,fa,n,4,0,no_fireplace
122600,400,oldtown,050,780,ta,y,6,0,no_fireplace
64000,256,oldtown,030,672,fa,y,4,0,no_fireplace
119164,440,oldtown,050,801,ta,y,8,0,no_fireplace
122250,225,oldtown,050,936,ta,n,6,1,gd
120000,0,oldtown,030,931,ta,y,5,1,ta
95000,0,oldtown,050,684,fa,y,5,0,no_fireplace
107900,281,oldtown,020,901,ta,y,4,0,no_fireplace
65000,0,oldtown,020,448,fa,y,6,0,no_fireplace
98000,513,oldtown,070,624,ta,n,7,0,no_fireplace
114000,308,oldtown,050,346,ta,y,5,0,no_fireplace
129500,396,oldtown,075,735,gd,n,8,1,gd
129400,0,oldtown,070,572,fa,y,7,0,no_fireplace
116900,288,oldtown,050,572,ta,y,5,1,gd
55000,400,oldtown,070,723,fa,n,5,0,no_fireplace
97000,308,oldtown,020,0,no_bsmt,y,4,0,no_fireplace
115500,308,oldtown,020,869,ta,y,5,0,no_fireplace
108000,252,brkside,050,672,ta,y,8,0,no_fireplace
124000,240,brkside,050,672,ta,y,6,0,no_fireplace
106900,200,brkside,070,554,ta,y,6,0,no_fireplace
120000,208,brkside,050,862,ta,y,5,1,gd
115000,355,brkside,050,565,ta,y,6,1,gd
81300,164,brkside,030,0,no_bsmt,n,6,0,no_fireplace
127500,228,oldtown,050,796,gd,y,7,0,no_fireplace
127500,320,idotrr,030,1040,ta,y,5,0,no_fireplace
89500,0,idotrr,050,319,ta,y,6,0,no_fireplace
79900,0,oldtown,050,901,ta,y,7,0,no_fireplace
85000,576,idotrr,030,451,fa,y,5,0,no_fireplace
82375,0,idotrr,190,536,ta,n,8,0,no_fireplace
129500,384,sawyer,020,1040,ta,y,5,0,no_fireplace
95541,400,sawyer,190,1300,ta,y,6,0,no_fireplace
80000,0,sawyer,020,1006,ta,y,5,0,no_fireplace
107500,0,edwards,190,1117,gd,y,5,0,no_fireplace
125000,240,edwards,190,1164,ta,n,5,0,no_fireplace
110000,280,collgcr,020,924,gd,y,5,0,no_fireplace
127000,352,collgcr,020,864,ta,y,5,0,no_fireplace
124900,352,collgcr,020,780,ta,y,4,0,no_fireplace
82000,0,edwards,090,0,no_bsmt,n,6,0,no_fireplace
82000,0,edwards,090,0,no_bsmt,n,6,0,no_fireplace
118000,0,edwards,090,1440,ta,n,8,0,no_fireplace
82500,0,edwards,090,0,no_bsmt,n,6,0,no_fireplace
91900,0,edwards,190,784,ta,n,4,0,no_fireplace
120000,0,edwards,050,585,ta,y,5,0,no_fireplace
96000,0,edwards,050,0,no_bsmt,y,8,0,no_fireplace
100000,312,edwards,080,416,ex,y,6,0,no_fireplace
108000,205,edwards,030,949,ta,y,6,0,no_fireplace
98000,0,edwards,030,864,ta,n,5,0,no_fireplace
115000,240,swisu,050,1064,ta,y,6,0,no_fireplace
110000,225,crawfor,050,884,ta,y,6,0,no_fireplace
116500,462,blueste,160,516,gd,y,5,1,ta
120000,240,idotrr,050,720,fa,y,5,0,no_fireplace
120500,924,idotrr,030,740,ta,y,4,1,gd
119000,0,idotrr,050,780,gd,y,7,0,no_fireplace
126000,288,idotrr,080,624,gd,y,7,1,po
99500,360,idotrr,030,520,ta,y,5,0,no_fireplace
13100,487,idotrr,020,0,no_bsmt,n,4,0,no_fireplace
40000,250,idotrr,070,649,ta,n,6,0,no_fireplace
65000,216,idotrr,070,592,fa,y,5,0,no_fireplace
124000,499,meadowv,120,1040,gd,y,6,0,no_fireplace
81000,0,meadowv,180,630,gd,y,3,0,no_fireplace
128500,264,mitchel,020,816,ta,y,4,0,no_fireplace
119500,264,mitchel,020,876,ta,y,5,0,no_fireplace
103000,288,idotrr,070,686,ta,y,7,0,no_fireplace
110000,684,names,020,858,ta,y,4,0,no_fireplace
128000,270,names,020,914,ta,y,4,0,no_fireplace
113500,264,brdale,160,525,ta,y,6,0,no_fireplace
113000,264,brdale,160,672,ta,y,7,0,no_fireplace
122500,440,brdale,160,765,ta,y,6,0,no_fireplace
129250,360,names,020,988,ta,y,5,0,no_fireplace
128000,283,sawyerw,160,630,ta,y,5,2,ta
120750,308,sawyer,020,894,gd,y,5,0,no_fireplace
128500,572,sawyer,020,988,ta,y,5,0,no_fireplace
129000,431,sawyer,020,1037,fa,y,5,0,no_fireplace
127000,311,nwames,020,1052,ta,y,6,0,no_fireplace
126500,461,names,020,1065,ta,y,6,0,no_fireplace
101800,462,names,090,0,no_bsmt,y,6,0,no_fireplace
105000,240,names,050,768,ta,y,6,1,gd
114500,275,names,020,912,ta,y,5,0,no_fireplace
129000,596,names,060,1021,gd,y,7,1,po
128600,484,names,090,1560,ta,y,8,0,no_fireplace
109000,240,oldtown,050,735,ta,y,5,0,no_fireplace
128500,580,oldtown,050,1151,ta,y,6,0,no_fireplace
120000,240,names,020,920,ta,y,5,0,no_fireplace
128500,288,names,020,952,ta,y,5,0,no_fireplace
122900,576,names,050,672,ta,y,6,1,po
119200,240,names,020,1082,ta,y,5,1,gd
125500,294,names,020,864,ta,y,5,0,no_fireplace
127500,576,oldtown,050,845,ta,y,6,0,no_fireplace
89500,184,oldtown,030,1022,fa,n,4,1,gd
89471,672,oldtown,030,907,fa,y,7,0,no_fireplace
85000,252,oldtown,050,570,fa,n,6,0,no_fireplace
100000,480,oldtown,030,968,ta,y,5,0,no_fireplace
114000,480,oldtown,070,616,ta,y,6,0,no_fireplace
90000,560,oldtown,190,662,ta,n,10,0,no_fireplace
124500,336,oldtown,070,687,ta,y,6,1,gd
104500,331,oldtown,020,0,no_bsmt,y,5,0,no_fireplace
128000,217,brkside,070,600,ta,y,6,2,ta
127500,560,brkside,050,884,ta,y,6,1,gd
90000,576,brkside,050,750,fa,y,7,0,no_fireplace
117000,216,oldtown,050,969,ta,n,6,0,no_fireplace
127000,0,idotrr,070,684,ta,y,7,0,no_fireplace
101000,288,idotrr,075,530,ta,n,6,0,no_fireplace
50000,264,idotrr,050,771,ta,y,6,0,no_fireplace
126000,240,edwards,050,756,ta,n,7,0,no_fireplace
115400,440,sawyer,020,1005,ta,y,5,0,no_fireplace
118500,261,sawyer,020,1029,ta,y,5,0,no_fireplace
123000,264,sawyer,020,1040,ta,y,6,0,no_fireplace
125000,384,sawyer,020,894,ta,y,5,0,no_fireplace
108000,300,sawyer,020,948,ta,y,6,0,no_fireplace
119900,576,sawyer,190,768,gd,y,6,0,no_fireplace
115000,264,sawyer,020,876,ta,y,5,0,no_fireplace
127000,386,sawyer,020,955,ta,y,6,0,no_fireplace
129000,450,sawyer,020,894,gd,y,5,1,po
89500,460,sawyer,020,0,no_bsmt,n,5,0,no_fireplace
109900,336,edwards,020,484,ta,n,4,0,no_fireplace
118000,399,swisu,020,864,ta,y,6,0,no_fireplace
86000,0,edwards,030,528,ta,y,5,0,no_fireplace
125000,256,edwards,020,1342,fa,y,7,0,no_fireplace
123600,0,collgcr,020,990,gd,y,5,0,no_fireplace
127000,576,collgcr,020,864,ta,y,5,0,no_fireplace
118500,384,edwards,085,936,gd,y,4,1,fa
110000,520,edwards,020,1088,ta,y,4,0,no_fireplace
122000,576,edwards,050,901,ta,y,7,1,gd
110000,622,edwards,020,1179,ta,y,5,0,no_fireplace
98500,0,edwards,090,1195,ta,n,8,0,no_fireplace
79000,0,edwards,030,544,ta,y,6,0,no_fireplace
125000,355,edwards,020,768,ta,y,4,1,fa
119000,280,edwards,020,948,ta,y,5,1,ta
96500,200,crawfor,045,768,ta,n,5,0,no_fireplace
90350,352,crawfor,030,440,ta,n,4,1,gd
119750,240,crawfor,030,920,fa,y,5,1,gd
115000,0,idotrr,050,793,ta,n,7,0,no_fireplace
67000,338,idotrr,030,961,fa,y,6,0,no_fireplace
119600,0,idotrr,190,957,ta,n,9,0,no_fireplace
85500,253,meadowv,160,546,ta,y,5,0,no_fireplace
75000,286,meadowv,160,546,ta,y,6,0,no_fireplace
129500,360,mitchel,020,845,ta,y,4,0,no_fireplace
124500,264,mitchel,020,816,ta,y,5,0,no_fireplace
116050,280,names,020,864,ta,y,5,0,no_fireplace
97500,576,names,020,864,ta,y,5,0,no_fireplace
105500,440,brdale,160,525,ta,y,6,0,no_fireplace
125500,440,brdale,160,765,ta,y,7,1,fa
116000,264,brdale,160,494,ta,y,6,0,no_fireplace
89000,264,brdale,160,483,ta,y,5,0,no_fireplace
123000,288,names,085,864,ta,y,6,1,po
107000,384,sawyerw,020,1056,ta,y,5,0,no_fireplace
119900,300,sawyerw,020,828,ta,y,6,0,no_fireplace
129500,624,sawyer,020,988,ta,y,6,0,no_fireplace
125000,504,sawyer,090,1728,ta,y,10,0,no_fireplace
116000,294,sawyer,020,882,ta,y,5,0,no_fireplace
129200,288,sawyer,020,912,ta,y,6,1,po
124400,264,names,020,1051,ta,y,6,0,no_fireplace
79900,528,brkside,030,600,fa,y,5,0,no_fireplace
127000,576,brkside,050,504,fa,y,5,0,no_fireplace
127000,684,names,080,301,gd,y,6,0,no_fireplace
112000,398,oldtown,050,617,fa,y,6,0,no_fireplace
117000,326,oldtown,020,833,ta,y,4,0,no_fireplace
108480,326,oldtown,030,1073,ta,y,4,0,no_fireplace
68000,660,names,030,715,ta,n,4,0,no_fireplace
86900,280,oldtown,050,448,fa,y,5,0,no_fireplace
105000,936,oldtown,050,672,ta,y,6,0,no_fireplace
115000,288,names,020,912,ta,y,5,0,no_fireplace
109500,625,names,020,0,no_bsmt,y,5,0,no_fireplace
81400,400,names,090,0,no_bsmt,n,6,0,no_fireplace
119000,0,names,090,1556,ta,y,8,0,no_fireplace
105000,336,names,020,864,ta,y,5,0,no_fireplace
124000,0,names,190,1025,ta,y,6,0,no_fireplace
107000,210,oldtown,070,686,ta,n,8,0,no_fireplace
111500,162,oldtown,050,1147,ta,n,9,1,ta
108000,280,oldtown,030,1032,ta,n,5,0,no_fireplace
105000,528,oldtown,020,576,ta,y,5,0,no_fireplace
116000,440,oldtown,050,648,fa,y,6,0,no_fireplace
96900,216,oldtown,070,738,ta,y,7,0,no_fireplace
64000,250,oldtown,030,798,ta,y,5,0,no_fireplace
79000,352,oldtown,050,540,ta,n,6,0,no_fireplace
114504,216,oldtown,070,684,ta,n,7,0,no_fireplace
125000,624,oldtown,020,960,ta,y,5,0,no_fireplace
100000,0,brkside,030,788,ta,y,4,2,ta
114500,528,brkside,050,816,ta,y,6,1,gd
110000,180,brkside,050,741,ta,y,7,0,no_fireplace
110500,440,oldtown,030,1103,ta,y,5,1,gd
113000,280,brkside,045,993,ta,y,5,1,gd
117000,255,oldtown,050,485,ta,y,5,0,no_fireplace
116500,390,idotrr,070,396,fa,y,7,0,no_fireplace
72000,0,idotrr,030,610,ta,n,4,0,no_fireplace
119500,198,idotrr,050,780,ta,y,7,1,gd
91000,210,idotrr,030,1007,ta,n,6,1,gd
125000,260,edwards,030,0,no_bsmt,n,6,1,ta
80000,180,swisu,030,830,ta,y,4,0,no_fireplace
128000,215,edwards,050,799,ta,n,6,2,ta
123500,308,edwards,020,980,ex,y,6,0,no_fireplace
128500,300,collgcr,020,971,gd,y,5,1,po
119900,297,collgcr,020,864,ta,y,5,0,no_fireplace
98000,528,edwards,070,676,gd,y,6,0,no_fireplace
102000,396,edwards,020,836,fa,y,6,0,no_fireplace
117250,0,edwards,020,914,gd,y,4,0,no_fireplace
97900,265,edwards,050,624,fa,y,5,0,no_fireplace
92000,528,edwards,050,832,fa,y,7,0,no_fireplace
107000,288,edwards,050,1093,ta,n,9,0,no_fireplace
81000,0,edwards,050,658,ta,y,8,0,no_fireplace
125000,609,edwards,020,954,ta,y,6,1,gd
116000,280,edwards,050,686,ta,y,7,0,no_fireplace
83000,0,edwards,050,864,ta,n,8,1,gd
128000,440,swisu,190,780,ta,n,6,0,no_fireplace
112000,240,swisu,050,824,fa,n,6,0,no_fireplace
102000,215,idotrr,030,976,ta,n,5,0,no_fireplace
72000,0,idotrr,030,432,fa,n,4,0,no_fireplace
115000,0,idotrr,190,660,ta,n,8,0,no_fireplace
78000,0,idotrr,050,216,fa,n,6,0,no_fireplace
81500,270,mitchel,020,0,no_bsmt,y,6,0,no_fireplace
127000,336,meadowv,160,757,ta,y,6,1,ta
126500,288,mitchel,020,864,ta,y,5,0,no_fireplace
79400,253,meadowv,160,546,ta,y,5,0,no_fireplace
92000,0,meadowv,180,630,gd,y,3,0,no_fireplace
90500,0,meadowv,160,546,ta,y,5,0,no_fireplace
71000,286,meadowv,160,546,ta,y,6,0,no_fireplace
141000,400,gilbert,020,864,ta,y,4,0,no_fireplace
149000,480,names,020,1004,ta,y,5,1,ta
149900,440,npkvill,160,855,ta,y,6,1,ta
146000,440,npkvill,160,855,gd,y,7,1,ta
160000,437,blmngtn,120,1145,gd,y,6,0,no_fireplace
143000,264,sawyerw,120,923,gd,y,5,1,ta
152000,480,sawyerw,020,1040,gd,y,6,0,no_fireplace
148000,576,sawyer,085,1109,ta,y,6,0,no_fireplace
138500,336,sawyer,020,894,ta,y,5,1,gd
151000,480,somerst,160,600,gd,y,4,0,no_fireplace
155000,484,greens,120,728,gd,y,3,1,ta
142250,490,names,020,1232,ta,y,6,0,no_fireplace
143000,528,nwames,020,1328,ta,y,6,2,gd
159000,504,names,020,1209,gd,y,6,0,no_fireplace
136300,480,names,080,533,ta,y,8,0,no_fireplace
132000,244,names,020,1268,ta,y,7,1,gd
154300,480,names,090,1105,ta,y,12,0,no_fireplace
145000,294,names,020,1314,ta,y,5,0,no_fireplace
148000,312,names,020,1194,ta,y,6,0,no_fireplace
142000,531,names,020,1188,ta,y,6,0,no_fireplace
159500,440,names,020,1244,ta,y,6,2,gd
135000,318,names,020,864,ta,y,4,0,no_fireplace
144900,490,names,020,1086,ta,y,6,0,no_fireplace
144000,576,oldtown,090,1056,ta,y,4,0,no_fireplace
132000,280,names,050,816,ta,y,5,0,no_fireplace
154000,305,names,020,1246,ta,y,6,0,no_fireplace
134800,576,names,020,900,ta,y,5,0,no_fireplace
148000,484,names,020,1175,ta,y,6,0,no_fireplace
143000,551,oldtown,020,1347,ta,y,6,0,no_fireplace
139000,416,oldtown,050,686,fa,y,7,0,no_fireplace
149700,923,oldtown,020,912,ta,y,6,0,no_fireplace
140750,624,oldtown,070,738,fa,y,6,0,no_fireplace
149500,572,oldtown,050,888,ta,y,9,1,ta
159900,0,oldtown,070,780,ta,y,7,0,no_fireplace
154000,270,sawyer,020,1060,ta,y,6,1,ta
158000,299,sawyer,060,663,ta,y,7,0,no_fireplace
158900,440,sawyer,060,672,ta,y,6,1,ta
147000,564,sawyerw,085,936,gd,y,5,0,no_fireplace
150000,308,collgcr,020,1026,gd,y,5,0,no_fireplace
155891,319,edwards,020,381,fa,y,6,0,no_fireplace
144000,336,edwards,020,1196,gd,y,6,0,no_fireplace
140000,440,edwards,020,1121,gd,y,5,0,no_fireplace
144500,364,edwards,020,1216,ta,y,7,1,gd
160000,572,timber,020,747,ta,y,7,2,ta
139000,0,mitchel,090,912,ta,y,8,0,no_fireplace
159000,616,mitchel,090,1216,ta,y,10,0,no_fireplace
136000,576,mitchel,060,624,gd,y,6,0,no_fireplace
157000,528,names,020,1434,ta,y,7,1,gd
157000,478,nwames,020,1271,gd,y,7,1,ta
136000,0,names,090,896,gd,y,8,0,no_fireplace
143000,336,names,020,1043,gd,y,6,0,no_fireplace
146000,440,npkvill,160,804,gd,y,7,1,ta
137900,440,npkvill,160,855,gd,y,6,1,ta
147000,440,npkvill,160,804,gd,y,7,1,ta
148800,656,names,020,864,ta,y,5,1,ta
156000,400,gilbert,080,384,gd,y,7,1,ta
159000,576,sawyerw,020,1114,gd,y,6,0,no_fireplace
142000,0,sawyerw,020,1114,gd,y,6,0,no_fireplace
145000,542,sawyerw,120,1332,gd,y,5,0,no_fireplace
160000,612,sawyerw,090,0,no_bsmt,y,8,2,ta
135000,484,sawyer,020,980,ta,y,6,0,no_fireplace
141000,732,sawyer,020,864,ta,y,5,0,no_fireplace
154000,441,nwames,060,727,ta,y,8,0,no_fireplace
130000,312,names,020,864,ta,y,5,0,no_fireplace
140000,768,names,020,1040,ta,y,6,1,gd
153000,610,names,020,1313,ta,y,6,1,ta
158000,645,names,080,1127,ta,y,7,1,fa
140000,271,names,050,856,ta,y,6,0,no_fireplace
139000,338,names,020,1240,ta,y,6,1,gd
155000,297,names,020,1215,ta,y,6,0,no_fireplace
144000,294,names,020,1200,ta,y,6,2,gd
153000,498,names,020,1297,ta,y,5,1,ta
131000,297,names,020,1062,ta,y,6,0,no_fireplace
129900,246,names,020,1200,ta,y,6,0,no_fireplace
135000,180,oldtown,050,660,fa,y,8,0,no_fireplace
142900,528,oldtown,050,1313,ta,y,8,1,ta
154000,364,names,020,1380,ta,y,6,0,no_fireplace
143500,480,names,020,951,ta,y,6,0,no_fireplace
153000,756,names,020,992,ta,y,5,0,no_fireplace
157500,498,names,020,1478,ta,y,6,2,gd
133000,288,names,040,832,ta,y,6,1,gd
139000,294,names,020,1029,ta,y,6,0,no_fireplace
138000,288,names,080,528,gd,y,6,0,no_fireplace
135000,576,names,050,864,ta,y,6,0,no_fireplace
144750,483,names,060,780,ta,y,8,0,no_fireplace
130000,472,oldtown,050,240,ta,y,6,0,no_fireplace
150000,400,oldtown,070,690,ta,y,7,1,gd
160000,357,oldtown,070,917,fa,y,8,0,no_fireplace
146500,640,oldtown,070,741,ta,y,8,0,no_fireplace
149000,216,brkside,030,1022,ta,n,6,1,gd
137000,336,brkside,070,297,ta,y,7,1,gd
132500,280,brkside,050,780,ta,y,6,1,gd
141500,576,brkside,050,927,ta,y,5,0,no_fireplace
133000,240,brkside,050,884,ta,y,6,0,no_fireplace
150000,250,brkside,050,952,ta,y,6,1,gd
155000,576,oldtown,070,1048,ta,y,8,0,no_fireplace
139000,480,sawyer,020,1121,ta,y,5,0,no_fireplace
149900,504,sawyer,085,456,gd,y,5,1,fa
139000,288,sawyer,020,1092,ta,y,6,1,po
135000,284,edwards,020,1134,ta,y,6,0,no_fireplace
139600,452,edwards,020,0,no_bsmt,y,8,1,gd
139500,266,edwards,120,1049,gd,y,5,0,no_fireplace
156500,576,sawyerw,080,520,gd,y,5,1,po
131000,576,sawyerw,070,0,no_bsmt,y,7,1,ta
153337,528,sawyerw,090,1086,gd,y,6,2,ta
147983,720,sawyerw,090,0,no_bsmt,y,8,0,no_fireplace
142953,528,sawyerw,090,0,no_bsmt,y,12,0,no_fireplace
152000,576,collgcr,020,1040,gd,y,6,0,no_fireplace
138000,480,collgcr,020,990,gd,y,5,0,no_fireplace
150500,484,collgcr,020,1040,gd,y,5,0,no_fireplace
136500,336,collgcr,020,864,ta,y,6,0,no_fireplace
133000,396,collgcr,085,768,gd,y,5,0,no_fireplace
140000,420,collgcr,120,848,gd,y,4,0,no_fireplace
