"sale_price","garage_area","neighborhood","ms_sub_class","total_bsmt_sf","bsmt_qual","central_air","tot_rms_abv_grd","fireplaces","fireplace_qu","gr_liv_area","lot_area","year_built","overall_qual","garage_cars","garage_qual","ms_zoning","lot_config","bldg_type"
126000,525,"n_ames",20,882,"ta","y",4,0,"none",882,8400,1970,4,2,"ta","rl","corner","one_fam"
105500,320,"br_dale",160,525,"ta","y",6,0,"none",1092,1680,1971,5,1,"ta","rm","inside","twhs_int"
149900,440,"n_pk_vill",160,855,"ta","y",6,1,"ta",1456,2280,1975,6,2,"ta","rl","fr2","twhs_int"
120000,308,"n_pk_vill",120,836,"gd","y",4,0,"none",836,2280,1975,7,1,"ta","rl","fr2","twhs_int"
146000,440,"n_pk_vill",160,855,"gd","y",7,1,"ta",1456,2280,1978,6,2,"ta","rl","inside","twhs_int"
306000,772,"nridg_ht",20,1704,"ex","y",7,1,"gd",1704,11478,2007,8,3,"ta","rl","inside","one_fam"
395192,606,"nridg_ht",20,1930,"ex","y",8,1,"gd",1940,10159,2009,9,3,"ta","rl","inside","one_fam"
290941,868,"nridg_ht",20,1544,"gd","y",7,0,"none",1544,12883,2009,8,3,"ta","rl","corner","one_fam"
220000,532,"nridg_ht",20,1541,"gd","y",7,1,"gd",1541,12182,2005,7,2,"ta","rl","corner","one_fam"
259000,678,"nridg_ht",20,1822,"ex","y",8,1,"gd",1822,14122,2005,8,3,"ta","rl","inside","one_fam"
320000,756,"nridg_ht",60,1671,"gd","y",7,1,"ex",2250,13650,2002,8,3,"ta","rl","corner","one_fam"
319900,576,"nridg_ht",120,1752,"ex","y",6,1,"gd",1752,7658,2005,9,2,"ta","rl","inside","twhs_ext"
205000,484,"nridg_ht",120,1370,"gd","y",6,1,"gd",1370,7132,2006,8,2,"ta","rl","inside","twhs_ext"
175500,474,"nridg_ht",160,764,"gd","y",6,0,"none",1626,2628,2003,7,2,"ta","rl","inside","twhs_int"
160000,437,"blmngtn",120,1145,"gd","y",6,0,"none",1145,3203,2006,7,2,"ta","rl","inside","twhs_ext"
222500,434,"gilbert",60,884,"gd","y",8,1,"gd",2035,9505,2001,7,2,"ta","rl","cul_d_sac","one_fam"
333168,779,"no_ridge",60,1393,"gd","y",10,1,"ta",2599,14774,1999,9,3,"ta","rl","corner","one_fam"
355000,962,"no_ridge",60,1629,"ex","y",7,1,"ta",2475,17433,1998,8,3,"ta","rl","cul_d_sac","one_fam"
260400,527,"no_ridge",20,1720,"gd","y",7,1,"ta",1720,10593,1996,7,2,"ta","rl","inside","one_fam"
325000,712,"no_ridge",60,1463,"ex","y",9,2,"ta",2622,12256,1994,8,2,"ta","rl","corner","one_fam"
290000,671,"no_ridge",60,1152,"gd","y",9,1,"gd",2270,11764,1999,8,3,"ta","rl","cul_d_sac","one_fam"
221000,486,"no_ridge",60,1195,"gd","y",7,0,"none",1839,16770,1998,7,2,"ta","rl","cul_d_sac","one_fam"
410000,666,"no_ridge",50,2033,"gd","y",9,1,"ex",3238,14720,1995,8,3,"ta","rl","cul_d_sac","one_fam"
221500,880,"somerst",20,1595,"gd","y",6,1,"gd",1595,8987,2005,8,3,"ta","rl","inside","one_fam"
254900,678,"somerst",60,991,"gd","y",8,1,"gd",1947,12552,2004,7,2,"ta","fv","corner","one_fam"
271500,528,"somerst",20,1468,"ex","y",6,1,"gd",1468,10440,2005,6,2,"ta","fv","corner","one_fam"
233000,618,"sawyer_w",60,956,"gd","y",8,0,"none",2084,10142,2004,7,2,"ta","rl","inside","one_fam"
181000,484,"sawyer_w",60,831,"gd","y",8,0,"none",1659,11920,2004,7,2,"ta","rl","inside","one_fam"
205000,463,"sawyer_w",60,948,"gd","y",8,2,"fa",2110,8880,1994,7,2,"ta","rl","inside","one_fam"
143000,264,"sawyer_w",120,923,"gd","y",5,1,"ta",923,8012,1980,6,1,"ta","rl","inside","twhs_ext"
125000,264,"sawyer_w",120,744,"gd","y",4,0,"none",752,7175,1984,6,1,"ta","rl","inside","twhs_ext"
194500,457,"sawyer_w",60,996,"gd","y",7,0,"none",1744,9453,1993,7,2,"ta","rl","cul_d_sac","one_fam"
152000,480,"sawyer_w",20,1040,"gd","y",6,0,"none",1097,9672,1984,6,2,"ta","rl","corner","one_fam"
171000,476,"sawyer_w",60,650,"gd","y",7,1,"ta",1564,8400,1980,6,2,"ta","rl","inside","one_fam"
67500,429,"sawyer_w",30,816,"ta","n",5,0,"none",1012,9800,1920,5,1,"ta","rh","corner","one_fam"
112000,539,"sawyer",90,0,"none","y",8,0,"none",1902,8930,1978,6,2,"ta","rm","inside","duplex"
138500,336,"sawyer",20,894,"ta","y",5,1,"gd",894,8450,1965,5,1,"ta","rl","inside","one_fam"
122000,280,"sawyer",20,882,"ta","y",5,0,"none",900,9819,1967,5,1,"ta","rl","inside","one_fam"
190000,564,"no_ridge",60,750,"gd","y",8,1,"ta",1923,10186,1992,7,2,"ta","rl","inside","one_fam"
362500,762,"no_ridge",60,1231,"gd","y",9,1,"ta",2349,13143,1993,8,3,"ta","rl","inside","one_fam"
285000,713,"no_ridge",60,1390,"gd","y",7,1,"ta",2225,11134,1992,8,3,"ta","rl","inside","one_fam"
260000,506,"somerst",120,1488,"ex","y",6,1,"gd",1488,4835,2004,7,2,"ta","fv","cul_d_sac","twhs_ext"
190000,588,"somerst",160,840,"gd","y",3,0,"none",1680,3515,2004,7,2,"ta","fv","inside","twhs_ext"
149500,480,"somerst",160,600,"gd","y",4,0,"none",1200,2544,2004,7,2,"ta","fv","inside","twhs_int"
222000,484,"somerst",20,1470,"ex","y",7,1,"gd",1478,4403,2009,7,2,"ta","fv","inside","one_fam"
155000,484,"greens",120,728,"gd","y",3,1,"ta",788,4420,1980,8,2,"ta","rl","cul_d_sac","twhs_ext"
218500,535,"nw_ames",20,1829,"ta","y",8,0,"none",1829,10456,1967,6,2,"ta","rl","inside","one_fam"
205000,480,"nw_ames",20,1610,"ta","y",6,2,"ta",1610,10603,1977,6,2,"ta","rl","inside","one_fam"
196500,496,"nw_ames",60,980,"gd","y",7,1,"ta",1714,10421,1988,7,2,"ta","rl","inside","one_fam"
171000,441,"nw_ames",60,715,"ta","y",7,0,"none",1645,9600,1971,6,2,"ta","rl","inside","one_fam"
159000,504,"n_ames",20,1209,"gd","y",6,0,"none",1209,9900,1966,5,2,"ta","rl","corner","one_fam"
178900,517,"n_ames",20,1510,"ta","y",6,0,"none",1510,9680,1967,5,2,"ta","rl","inside","one_fam"
136300,480,"n_ames",80,533,"ta","y",8,0,"none",1775,10600,1964,6,2,"ta","rl","inside","one_fam"
180500,484,"n_ames",80,1152,"ta","y",6,1,"gd",1152,14112,1964,5,2,"ta","rl","corner","one_fam"
137500,480,"n_ames",85,936,"ta","y",6,0,"none",1054,8800,1963,6,2,"ta","rl","inside","one_fam"
197600,400,"n_ames",50,1140,"ta","y",7,2,"gd",2461,9724,1952,5,2,"ta","rl","inside","one_fam"
172500,470,"n_ames",50,782,"ta","y",6,1,"gd",1556,17360,1949,6,2,"ta","rl","corner","one_fam"
116500,0,"brk_side",20,858,"ta","y",4,0,"none",858,7207,1958,5,0,"none","rl","inside","one_fam"
128000,280,"n_ames",20,1056,"ta","y",6,0,"none",1063,9920,1954,5,1,"ta","rl","inside","one_fam"
153000,364,"n_ames",80,1156,"ta","y",7,2,"gd",1520,9600,1955,6,1,"ta","rl","inside","one_fam"
132000,244,"n_ames",20,1268,"ta","y",7,1,"gd",1268,7800,1954,5,1,"ta","rl","inside","one_fam"
154300,480,"n_ames",90,1105,"ta","y",12,0,"none",2274,11600,1960,5,2,"ta","rl","corner","duplex"
180000,576,"n_ames",20,1947,"gd","y",7,1,"gd",2207,19900,1970,7,2,"ta","rl","inside","one_fam"
136000,308,"n_ames",20,1143,"ta","y",6,0,"none",1143,8050,1959,5,1,"ta","rl","inside","one_fam"
165500,447,"n_ames",20,1398,"ta","y",6,1,"gd",1700,10552,1959,5,2,"ta","rl","inside","one_fam"
145000,294,"n_ames",20,1314,"ta","y",5,0,"none",1314,8400,1957,5,1,"ta","rl","inside","one_fam"
167500,461,"n_ames",20,1268,"ta","y",6,2,"gd",1264,9300,1960,5,2,"ta","rl","inside","one_fam"
159500,440,"n_ames",20,1244,"ta","y",6,2,"gd",1580,10032,1959,6,2,"ta","rl","inside","one_fam"
135000,318,"n_ames",20,864,"ta","y",4,0,"none",1064,10950,1952,5,1,"ta","rl","inside","one_fam"
122500,305,"n_ames",20,972,"ta","y",5,0,"none",972,10895,1955,5,1,"ta","rl","corner","one_fam"
105000,676,"n_ames",30,576,"ta","y",4,0,"none",985,7898,1920,4,2,"ta","rl","corner","one_fam"
144900,490,"n_ames",20,1086,"ta","y",6,0,"none",1086,10200,1954,5,2,"ta","rl","inside","one_fam"
129000,308,"n_ames",20,936,"ta","y",4,0,"none",936,5868,1956,5,1,"ta","rl","inside","one_fam"
144000,576,"old_town",90,1056,"ta","y",4,0,"none",1056,6979,1980,6,2,"ta","rl","inside","duplex"
132000,280,"n_ames",50,816,"ta","y",5,0,"none",1224,8064,1948,6,1,"ta","rl","inside","one_fam"
134800,576,"n_ames",20,900,"ta","y",5,0,"none",900,7200,1951,5,2,"ta","rl","corner","one_fam"
148000,484,"n_ames",20,1175,"ta","y",6,0,"none",1175,7635,1960,5,2,"ta","rl","corner","one_fam"
192000,440,"n_ames",20,1395,"ta","y",7,1,"ta",1395,9760,1963,6,2,"ta","rl","inside","one_fam"
155000,442,"n_ames",60,756,"ta","y",7,1,"ta",1839,7700,1966,6,2,"ta","rl","inside","one_fam"
115000,360,"old_town",30,1008,"ta","y",5,1,"gd",1028,8960,1927,5,2,"ta","rm","inside","one_fam"
143000,551,"old_town",20,1347,"ta","y",6,0,"none",1347,5805,1957,5,2,"ta","rm","inside","one_fam"
119000,240,"old_town",45,827,"gd","y",6,0,"none",1251,6900,1938,6,1,"fa","rm","corner","one_fam"
12789,780,"old_town",30,678,"fa","n",5,1,"gd",832,9656,1923,2,2,"fa","rm","inside","one_fam"
105900,484,"old_town",30,624,"ta","y",5,0,"none",720,8520,1928,6,2,"ta","rm","inside","one_fam"
139000,416,"old_town",50,686,"fa","y",7,0,"none",1652,10800,1915,5,1,"ta","rm","inside","one_fam"
240000,624,"old_town",70,346,"fa","y",7,0,"none",2268,9000,1890,8,2,"ta","rm","inside","one_fam"
76500,0,"old_town",190,840,"ta","n",12,0,"none",2256,9045,1910,5,0,"none","rm","inside","two_fam"
128500,363,"brk_side",50,988,"ta","y",7,0,"none",1612,5830,1950,5,1,"ta","rm","corner","one_fam"
134000,240,"brk_side",50,608,"ta","y",5,0,"none",1132,6000,1939,6,1,"ta","rm","inside","one_fam"
128000,576,"brk_side",50,572,"ta","y",6,2,"gd",1196,6000,1940,6,2,"ta","rm","inside","one_fam"
139900,312,"brk_side",50,780,"ta","y",6,0,"none",1416,6000,1948,6,1,"ta","rm","inside","one_fam"
123900,624,"brk_side",50,528,"ta","y",5,0,"none",1040,6240,1936,5,2,"ta","rm","inside","one_fam"
149500,572,"old_town",50,888,"ta","y",9,1,"ta",1962,8094,1915,4,2,"ta","rm","inside","one_fam"
159900,0,"old_town",70,780,"ta","y",7,0,"none",1560,12900,1912,6,0,"none","rm","inside","one_fam"
122000,180,"old_town",70,662,"ta","y",6,0,"none",1324,3068,1920,6,1,"ta","rm","inside","one_fam"
55000,0,"idotrr",190,0,"none","n",7,0,"none",1092,5600,1930,4,0,"none","rm","inside","two_fam"
244400,349,"clear_cr",70,1032,"ta","y",10,2,"ta",2403,24090,1940,7,1,"ta","rl","inside","one_fam"
95000,231,"swisu",50,600,"fa","n",5,0,"none",919,6001,1940,6,1,"ta","rl","inside","one_fam"
94000,0,"sawyer",50,780,"ta","n",6,0,"none",1020,6342,1875,5,0,"none","rl","inside","one_fam"
136000,0,"sawyer",90,1832,"ta","n",8,0,"none",1832,10773,1967,4,0,"none","rl","inside","duplex"
125000,336,"sawyer",20,912,"ta","y",5,1,"fa",912,8521,1967,5,1,"ta","rl","fr2","one_fam"
154000,270,"sawyer",20,1060,"ta","y",6,1,"ta",1060,8246,1968,5,1,"ta","rl","inside","one_fam"
158000,299,"sawyer",60,663,"ta","y",7,0,"none",1352,9364,1969,6,1,"ta","rl","corner","one_fam"
160250,591,"sawyer",90,1319,"gd","y",5,2,"ta",1373,7424,1978,5,2,"ta","rl","inside","duplex"
163000,480,"sawyer",60,720,"ta","y",7,2,"ta",1440,11227,1968,5,2,"ta","rl","inside","one_fam"
158900,440,"sawyer",60,672,"ta","y",6,1,"ta",1386,11616,1978,6,2,"ta","rl","cul_d_sac","one_fam"
270000,690,"clear_cr",20,1420,"gd","y",4,2,"ta",1483,20062,1977,7,2,"ta","rl","inside","one_fam"
128000,436,"sawyer",20,1067,"gd","y",4,0,"none",1067,9600,1950,4,2,"ta","rl","inside","one_fam"
260000,586,"clear_cr",40,1332,"gd","y",4,1,"ta",1524,23595,1979,7,2,"ta","rl","inside","one_fam"
230000,522,"clear_cr",60,1117,"gd","y",8,1,"ta",1981,17082,1978,6,2,"ta","rl","cul_d_sac","one_fam"
83000,366,"edwards",30,458,"ta","n",5,0,"none",835,10625,1920,5,1,"fa","rl","corner","one_fam"
129000,596,"edwards",20,1144,"ta","y",6,0,"none",1144,9571,1956,5,1,"ta","rl","inside","one_fam"
114000,504,"edwards",20,1250,"ta","y",5,0,"none",1298,11200,1964,5,2,"ta","rl","cul_d_sac","one_fam"
178000,476,"sawyer_w",60,741,"gd","y",7,1,"ta",1732,9206,1985,6,2,"ta","rl","inside","one_fam"
218000,1017,"sawyer_w",60,946,"gd","y",8,1,"gd",1802,12361,1993,6,4,"ta","rl","cul_d_sac","one_fam"
236000,574,"sawyer_w",60,1050,"gd","y",8,1,"ta",1949,9938,1993,7,2,"ta","rl","inside","one_fam"
245350,776,"collg_cr",20,1694,"gd","y",7,0,"none",1694,10475,2008,8,3,"ta","rl","corner","one_fam"
206000,632,"collg_cr",20,1187,"gd","y",6,0,"none",1208,6762,2006,7,2,"ta","rl","inside","one_fam"
198900,740,"collg_cr",20,1226,"gd","y",6,0,"none",1226,10402,2009,7,3,"ta","rl","corner","one_fam"
187000,615,"collg_cr",20,1222,"gd","y",6,0,"none",1222,7360,2010,7,2,"ta","rl","inside","one_fam"
320000,594,"sawyer_w",60,1673,"gd","y",11,2,"ta",3222,12376,1990,7,3,"ta","rl","corner","one_fam"
200500,523,"collg_cr",60,804,"gd","y",7,0,"none",1682,8750,1998,6,2,"ta","rl","inside","one_fam"
150000,308,"collg_cr",20,1026,"gd","y",5,0,"none",1026,15240,1977,5,1,"ta","rl","fr2","one_fam"
161750,299,"collg_cr",60,689,"gd","y",6,0,"none",1392,10900,1977,6,1,"ta","rl","fr2","one_fam"
127000,484,"collg_cr",20,876,"ta","y",5,0,"none",876,7480,1972,5,2,"ta","rl","inside","one_fam"
318000,850,"collg_cr",20,1978,"gd","y",8,1,"gd",1978,10389,2003,8,3,"ta","rl","inside","one_fam"
240000,621,"collg_cr",60,1040,"gd","y",9,1,"ta",2098,9375,1997,7,2,"ta","rl","inside","one_fam"
224900,598,"collg_cr",20,1649,"gd","y",6,0,"none",1661,12137,1998,7,2,"ta","rl","cul_d_sac","one_fam"
213000,606,"collg_cr",20,1473,"gd","y",7,0,"none",1484,8400,2004,7,2,"ta","rl","inside","one_fam"
84900,240,"edwards",30,0,"none","n",5,0,"none",640,8777,1945,3,1,"ta","rl","inside","one_fam"
155891,319,"edwards",20,381,"fa","y",6,0,"none",992,8842,1954,5,1,"ta","rl","corner","one_fam"
100000,0,"edwards",90,0,"none","n",8,0,"none",1664,9825,1965,5,0,"none","rl","inside","duplex"
144000,336,"edwards",20,1196,"gd","y",6,0,"none",1196,10044,1968,5,1,"ta","rl","cul_d_sac","one_fam"
107000,672,"edwards",80,1029,"ta","y",6,1,"ta",1117,7819,1976,6,2,"ta","rl","inside","one_fam"
90000,0,"edwards",20,960,"ta","y",5,0,"none",960,6410,1958,4,0,"none","rl","inside","one_fam"
113000,220,"edwards",50,735,"ta","y",7,1,"gd",1487,8741,1945,6,1,"ta","rl","inside","one_fam"
144500,364,"edwards",20,1216,"ta","y",7,1,"gd",1526,8562,1957,5,1,"ta","rl","inside","one_fam"
127000,308,"swisu",50,1026,"ta","y",6,1,"gd",1691,5000,1924,5,1,"ta","rl","inside","one_fam"
100000,0,"swisu",50,894,"ta","y",7,1,"gd",1666,9839,1931,5,0,"none","rl","inside","one_fam"
169000,336,"swisu",50,804,"ta","y",10,1,"gd",2447,9638,1919,6,1,"ta","rl","inside","one_fam"
257500,312,"crawfor",50,1528,"gd","y",8,2,"ta",2133,10452,1941,7,1,"ta","rl","inside","one_fam"
215000,484,"crawfor",90,1032,"ta","y",11,0,"none",2177,15600,1950,5,2,"ta","rl","inside","duplex"
266500,252,"crawfor",70,1152,"ta","y",9,2,"gd",2340,9042,1941,7,1,"ta","rl","inside","one_fam"
203135,473,"crawfor",80,423,"gd","y",6,0,"none",1652,19645,1994,7,2,"ta","rl","fr2","one_fam"
185000,598,"blueste",120,982,"gd","y",4,1,"ta",1034,3907,1989,8,2,"ta","rm","inside","twhs_ext"
68400,528,"idotrr",50,698,"ta","y",6,0,"none",1128,7500,1920,4,2,"ta","c","inside","one_fam"
55993,504,"idotrr",20,540,"ta","n",4,0,"none",1044,8712,1952,5,2,"ta","c","inside","one_fam"
50138,330,"idotrr",30,756,"ta","y",5,0,"none",952,8712,1896,4,1,"ta","c","corner","one_fam"
254900,741,"mitchel",60,1049,"gd","y",8,1,"ta",1916,11050,1998,8,3,"ta","rl","inside","one_fam"
160000,572,"timber",20,747,"ta","y",7,2,"ta",1687,57200,1948,5,2,"ta","rl","inside","one_fam"
220000,660,"timber",20,1336,"gd","y",6,1,"ta",1346,11896,2008,7,3,"ta","rl","corner","one_fam"
179781,520,"timber",20,1214,"gd","y",6,0,"none",1214,9803,2009,7,2,"ta","rl","inside","one_fam"
174000,400,"timber",60,384,"gd","y",7,0,"none",1444,9802,2006,5,2,"ta","rl","inside","one_fam"
378500,746,"timber",20,2002,"ex","y",10,1,"gd",2018,13214,2008,9,3,"ta","rl","inside","one_fam"
169000,528,"mitchel",20,1068,"ta","y",7,1,"ta",1264,15300,1965,5,2,"ta","rl","inside","one_fam"
139000,0,"mitchel",90,912,"ta","y",8,0,"none",1824,9400,1971,6,0,"none","rl","corner","duplex"
83500,286,"meadow_v",160,546,"ta","y",6,0,"none",1092,1974,1973,4,1,"ta","rm","inside","twhs_ext"
85000,336,"meadow_v",160,536,"gd","y",4,0,"none",1112,2592,1976,5,1,"ta","rm","inside","twhs_ext"
88250,0,"meadow_v",160,546,"ta","y",5,0,"none",1092,1900,1970,4,0,"none","rm","inside","twhs_ext"
85500,286,"meadow_v",160,546,"ta","y",5,0,"none",1092,1890,1972,4,1,"ta","rm","inside","twhs_ext"
157900,312,"mitchel",20,1188,"ta","y",6,0,"none",1188,26142,1962,5,1,"ta","rl","cul_d_sac","one_fam"
136000,576,"mitchel",60,624,"gd","y",6,0,"none",1274,10475,1991,5,2,"ta","rl","inside","one_fam"
285000,482,"mitchel",20,1679,"gd","y",6,2,"ta",1803,9892,1994,8,2,"ta","rl","inside","one_fam"
231000,616,"mitchel",60,1152,"gd","y",7,1,"fa",1797,12961,1993,6,2,"ta","rl","inside","one_fam"
124500,502,"n_ames",20,882,"fa","y",5,0,"none",882,13008,1956,6,1,"ta","rl","inside","one_fam"
189000,390,"gilbert",80,384,"gd","y",7,1,"ta",1628,8400,1996,7,2,"ta","rl","inside","one_fam"
377500,758,"gilbert",20,1746,"ex","y",7,2,"gd",1746,14892,2006,9,3,"ta","rl","cul_d_sac","one_fam"
239500,528,"stone_br",120,1587,"gd","y",6,0,"none",1734,8013,1995,8,2,"ta","rl","corner","twhs_ext"
185000,427,"gilbert",60,832,"gd","y",7,1,"ta",1718,10141,1998,7,2,"ta","rl","corner","one_fam"
185000,420,"gilbert",60,680,"gd","y",6,1,"ta",1470,9765,1993,6,2,"ta","rl","corner","one_fam"
181316,409,"gilbert",60,707,"gd","y",7,1,"ta",1516,8803,1994,6,2,"ta","rl","inside","one_fam"
166000,430,"gilbert",20,1181,"gd","y",6,1,"ta",1190,7250,1993,6,2,"ta","rl","inside","one_fam"
178000,389,"gilbert",60,808,"gd","y",7,1,"ta",1593,9636,1992,6,2,"ta","rl","corner","one_fam"
225000,490,"gilbert",60,978,"gd","y",9,1,"ta",1983,10762,1999,7,2,"ta","rl","cul_d_sac","one_fam"
372500,834,"stone_br",20,2046,"ex","y",7,1,"gd",2046,11844,2008,8,3,"ta","rl","inside","one_fam"
181000,435,"nw_ames",20,1362,"gd","y",7,1,"ta",1586,17043,1979,6,2,"ta","rl","cul_d_sac","one_fam"
82500,544,"nw_ames",20,1386,"ta","y",6,1,"ta",1411,11900,1977,7,2,"ta","rl","inside","one_fam"
215000,529,"nw_ames",20,1602,"gd","y",8,1,"ta",1602,16635,1977,6,2,"ta","rl","fr2","one_fam"
249000,441,"nw_ames",60,1043,"gd","y",9,1,"ta",2673,12388,1980,7,2,"ta","rl","inside","one_fam"
187500,588,"nw_ames",80,1372,"gd","y",6,2,"ta",1472,14115,1980,7,2,"ta","rl","inside","one_fam"
184000,479,"nw_ames",20,1140,"ta","y",7,1,"ta",1707,11088,1978,6,2,"ta","rl","inside","one_fam"
240900,581,"somerst",60,926,"gd","y",7,1,"ex",1884,7000,2003,7,2,"ta","fv","inside","one_fam"
165000,478,"nw_ames",20,1064,"gd","y",7,1,"ta",1350,10140,1974,6,2,"ta","rl","inside","one_fam"
136000,0,"n_ames",90,896,"gd","y",8,0,"none",1792,9000,1974,5,0,"none","rl","fr2","duplex"
128000,477,"n_ames",20,1180,"ta","y",6,0,"none",1180,7830,1970,5,2,"ta","rl","inside","one_fam"
97000,576,"n_ames",20,864,"ta","y",4,0,"none",864,10500,1971,4,2,"ta","rl","fr2","one_fam"
111000,264,"br_dale",160,483,"ta","y",5,0,"none",987,1680,1973,6,1,"ta","rm","inside","twhs_int"
112000,280,"br_dale",160,630,"ta","y",6,0,"none",1302,1680,1971,5,1,"ta","rm","inside","twhs_int"
97000,288,"br_dale",160,483,"ta","y",5,0,"none",987,1680,1972,6,1,"ta","rm","inside","twhs_int"
123000,440,"n_pk_vill",120,1057,"gd","y",4,1,"fa",1055,2280,1975,7,2,"ta","rl","fr2","twhs_int"
137900,440,"n_pk_vill",160,855,"gd","y",6,1,"ta",1456,2349,1977,6,2,"ta","rl","inside","twhs_int"
147000,440,"n_pk_vill",160,804,"gd","y",7,1,"ta",1548,2364,1978,6,2,"ta","rl","inside","twhs_ext"
100000,288,"n_ames",20,892,"ta","y",5,0,"none",892,7150,1967,5,1,"ta","rl","inside","one_fam"
337500,786,"nridg_ht",20,1700,"ex","y",7,1,"gd",1718,12456,2006,10,3,"ta","rl","fr2","one_fam"
462000,754,"nridg_ht",60,1776,"ex","y",10,3,"gd",2772,14257,2007,9,3,"ta","rl","inside","one_fam"
485000,820,"nridg_ht",60,1926,"ex","y",11,2,"gd",3140,13518,2008,9,3,"ta","rl","inside","one_fam"
325000,840,"nridg_ht",20,1652,"ex","y",6,2,"ex",1652,13173,2006,9,2,"ta","rl","corner","one_fam"
256300,890,"nridg_ht",20,1566,"gd","y",7,1,"gd",1600,14230,2007,8,3,"ta","rl","corner","one_fam"
253293,1390,"nridg_ht",20,2042,"ex","y",8,1,"gd",2042,12704,2008,8,3,"ta","rl","inside","one_fam"
398800,864,"nridg_ht",60,1365,"ex","y",8,1,"gd",2690,12350,2009,9,3,"ta","rl","inside","one_fam"
335000,836,"nridg_ht",60,1104,"ex","y",10,1,"gd",2184,11308,2008,9,3,"ta","rl","inside","one_fam"
404000,896,"nridg_ht",20,2020,"ex","y",7,1,"gd",2020,12350,2008,9,3,"ta","rl","inside","one_fam"
402861,900,"nridg_ht",20,2006,"ex","y",9,1,"gd",2020,12220,2009,10,3,"ta","rl","inside","one_fam"
610000,762,"nridg_ht",20,2630,"ex","y",8,2,"gd",2674,13693,2007,10,3,"ta","rl","inside","one_fam"
335000,927,"nridg_ht",20,1739,"ex","y",8,1,"gd",1743,10367,2008,9,3,"ta","rl","inside","one_fam"
274900,856,"nridg_ht",20,1713,"ex","y",7,1,"gd",1713,9591,2004,8,3,"ta","rl","inside","one_fam"
324000,850,"nridg_ht",20,1774,"ex","y",7,1,"gd",1808,13514,2008,9,3,"ta","rl","corner","one_fam"
269500,583,"nridg_ht",20,1760,"gd","y",8,1,"gd",1760,12878,2003,7,2,"ta","rl","corner","one_fam"
233170,644,"nridg_ht",20,1502,"gd","y",7,0,"none",1502,9541,2009,7,2,"ta","rl","inside","one_fam"
290000,730,"nridg_ht",60,1082,"gd","y",10,1,"gd",2400,13262,2003,8,3,"ta","rl","inside","one_fam"
255900,871,"nridg_ht",20,1598,"gd","y",6,1,"gd",1606,9658,2006,8,3,"ta","rl","inside","one_fam"
230000,626,"nridg_ht",120,1314,"gd","y",6,1,"gd",1314,5001,2007,7,2,"ta","rl","inside","twhs_int"
320000,649,"nridg_ht",120,1884,"ex","y",6,1,"gd",1884,7390,2008,9,2,"ta","rl","inside","twhs_ext"
248500,539,"nridg_ht",120,1451,"ex","y",6,1,"gd",1456,6472,2008,9,2,"ta","rl","inside","twhs_ext"
